words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,558.176644707301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.2839499916608474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.884059681578492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
keyboard,senk,&&&&,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,right,5.818599497094283,AMP_prac,right,5.818599497094283,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
scarf,bisebell,&&&&&&&&,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,left,1.1005417142418992,AMP_prac,left,1.1005417142418992,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
banana,kacket,&&&&&&,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,right,0.6170817991712738,AMP_prac,right,0.6170817991712738,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
car,cemtuper,&&&&&&&&,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,right,0.7837864189768879,AMP_prac,right,0.7837864189768879,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.6838579419347752,,,,,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
help,menizen,&&&&&&&,left,care.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,0.683767495862412,,,right,0,0.683767495862412,0,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
win,edancipation,&&&&&&&&&&&&,left,fairness.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6336068097552925,,,right,0,0.6336068097552925,0,,,,,,,,,,,,,,,,,,,,,,1069,2019_Mar_14_1402,mf_amp_cond1,3.0.4,60.034735994902476,
