words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,469.0639419909826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,4.317820922271267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.5339871930643767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
scarf,bisebell,&&&&&&&&,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,right,1.8006599106222438,AMP_prac,right,1.8006599106222438,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
car,cemtuper,&&&&&&&&,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,right,1.000488454450533,AMP_prac,right,1.000488454450533,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
keyboard,senk,&&&&,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,right,0.5670523201104061,AMP_prac,right,0.5670523201104061,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
banana,kacket,&&&&&&,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,right,0.8504495512827361,AMP_prac,right,0.8504495512827361,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.4672645716898387,,,,,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
conspiracy,honstables,&&&&&&&&&&,right,sanctity.vice,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,0.583723273716032,,,right,1,0.583723273716032,1,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
strong,infet,&&&&&,left,loyalty.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6837368080414308,,,right,0,0.6837368080414308,0,,,,,,,,,,,,,,,,,,,,,,1073,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.947089641886585,
