words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
clean,neutralust,&&&&&&&&&&,left,sanctity.virtue,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8337866200599819,,,left,1,0.8337866200599819,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
torture,hatigue,&&&&&&&,right,care.vice,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,left,0.2169595711166039,,,left,0,0.2169595711166039,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
riot,hescribe,&&&&&&&&,right,authority.vice,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,left,0.23364704195410013,,,left,0,0.23364704195410013,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
charges,saned,&&&&&,right,fairness.vice,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,AMP,right,0.15029243403114378,,,right,1,0.15029243403114378,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
violations,pafer,&&&&&,right,sanctity.vice,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,AMP,left,0.06691152695566416,,,left,0,0.06691152695566416,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
interests,menizen,&&&&&&&,left,fairness.virtue,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,AMP,right,0.06692628015298396,,,right,0,0.06692628015298396,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
restore,festate,&&&&&&&,left,care.virtue,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,AMP,left,0.03358790080528706,,,left,1,0.03358790080528706,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
harassment,juck,&&&&,right,sanctity.vice,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,AMP,right,0.4502611957723275,,,right,1,0.4502611957723275,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
loyalty,iptervention,&&&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,AMP,left,0.3670274999458343,,,left,1,0.3670274999458343,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
groups,tenuflect,&&&&&&&&&,right,loyalty.vice,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,AMP,right,0.31696829467546195,,,right,1,0.31696829467546195,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
sharing,shoirmaster,&&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,AMP,left,0.33366250072140247,,,left,1,0.33366250072140247,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
thadowed,wonderfujnoss,&&&&&&&&&&&&&,None,nonword,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,AMP,right,0.2503143072826788,,,right,0,0.2503143072826788,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
faith,wump,&&&&,left,sanctity.virtue,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,AMP,right,0.16694590833503753,,,right,0,0.16694590833503753,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
safety,troubla,&&&&&&&,left,care.virtue,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,AMP,right,0.016909730969928205,,,right,0,0.016909730969928205,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
intelligence,laming,&&&&&&,left,loyalty.virtue,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,AMP,right,0.11693320784252137,,,right,0,0.11693320784252137,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
growth,godlaness,&&&&&&&&&,left,care.virtue,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,AMP,right,0.1669536055997014,,,right,0,0.1669536055997014,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
police,carvels,&&&&&&&,right,authority.vice,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,AMP,right,0.050249393098056316,,,right,1,0.050249393098056316,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
promised,aubos,&&&&&,left,loyalty.virtue,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,AMP,left,0.2836526866303757,,,left,1,0.2836526866303757,1,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
shot,gandbrake,&&&&&&&&&,right,care.vice,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,AMP,left,0.11694186727982014,,,left,0,0.11694186727982014,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
pleasant,gazily,&&&&&&,None,control,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,AMP,right,0.2503027613274753,,,right,0,0.2503027613274753,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
progress,quarterbocks,&&&&&&&&&&&&,left,authority.virtue,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,AMP,right,0.767102163983509,,,right,0,0.767102163983509,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
respect,framatic,&&&&&&&&,left,sanctity.virtue,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,AMP,right,0.350385571597144,,,right,0,0.350385571597144,0,,,,,,,,,,,,,,,,,,,,,,1013,2019_Mar_06_1151,mf_amp_cond1,3.0.4,59.98549407027563,
