words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
racist,abointment,&&&&&&&&&&,right,sanctity.vice,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7004110715088245,,,left,0,0.7004110715088245,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
sliptery,baklara,&&&&&&&,None,nonword,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4668889709228097,,,left,0,0.4668889709228097,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
corruption,photocalkodes,&&&&&&&&&&&&&,right,sanctity.vice,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,right,0.41700489648792427,,,right,1,0.41700489648792427,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
win,proached,&&&&&&&&,left,fairness.virtue,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5837099965394827,,,left,1,0.5837099965394827,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
accused,chonograph,&&&&&&&&&&,right,fairness.vice,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6504198753732453,,,left,0,0.6504198753732453,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
crime,feleological,&&&&&&&&&&&&,right,fairness.vice,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7004469925582271,,,left,0,0.7004469925582271,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
good,wonderfujnoss,&&&&&&&&&&&&&,left,care.virtue,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,AMP,right,0.2836348509870277,,,right,0,0.2836348509870277,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
friends,gationwide,&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,AMP,right,0.65039133096775,,,right,0,0.65039133096775,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
safety,erks,&&&&,left,care.virtue,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,AMP,left,0.46702784426543076,,,left,1,0.46702784426543076,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
serial,thadowed,&&&&&&&&,right,sanctity.vice,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4170129145795727,,,left,0,0.4170129145795727,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
health,gedious,&&&&&&&,left,care.virtue,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,AMP,right,0.8338070956260708,,,right,0,0.8338070956260708,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
fontacts,frojecting,&&&&&&&&&&,None,nonword,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7171133973006363,,,left,0,0.7171133973006363,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
fair,gournful,&&&&&&&&,left,fairness.virtue,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,AMP,left,0.35066577419979694,,,left,1,0.35066577419979694,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
police,fegard,&&&&&&,right,authority.vice,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5837266741693838,,,left,0,0.5837266741693838,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
honored,aubos,&&&&&,left,authority.virtue,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,AMP,left,0.36697168555360804,,,left,1,0.36697168555360804,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
pulge,lachelor,&&&&&&&&,None,nonword,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4003481134552658,,,left,0,0.4003481134552658,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
terrorist,ugeasily,&&&&&&&&,right,loyalty.vice,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4670243163052419,,,left,0,0.4670243163052419,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
pharing,disregord,&&&&&&&&&,None,nonword,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4503511763662118,,,left,0,0.4503511763662118,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
commitment,ittutable,&&&&&&&&&,left,sanctity.virtue,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5170418117809277,,,left,1,0.5170418117809277,1,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
clean,hasks,&&&&&,left,sanctity.virtue,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,AMP,right,0.18363546036198386,,,right,0,0.18363546036198386,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
officers,elduringly,&&&&&&&&&&,right,authority.vice,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,AMP,left,1.1171933857801832,,,left,0,1.1171933857801832,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
support,squets,&&&&&&,left,loyalty.virtue,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,AMP,right,2.417529921111509,,,right,0,2.417529921111509,0,,,,,,,,,,,,,,,,,,,,,,1071,2019_Mar_14_1403,mf_amp_cond1,3.0.4,59.987321266414924,
