words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,392.2386544186447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.0009583072096575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.233875390549656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
banana,kacket,&&&&&&,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,left,2.0507457028434146,AMP_prac,left,2.0507457028434146,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
scarf,bisebell,&&&&&&&&,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,left,1.150546921446221,AMP_prac,left,1.150546921446221,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
keyboard,senk,&&&&,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,left,2.567513834190322,AMP_prac,left,2.567513834190322,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
car,cemtuper,&&&&&&&&,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,left,0.8504360810911749,AMP_prac,left,0.8504360810911749,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0338332481333055,,,,,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
good,pistraught,&&&&&&&&&&,left,care.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5170676825509872,,,left,1,0.5170676825509872,1,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
fair,taxpayung,&&&&&&&&&,left,fairness.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,3.8011538172722794,,,left,1,3.8011538172722794,1,,,,,,,,,,,,,,,,,,,,,,1075,2019_Mar_14_1404,mf_amp_cond1,3.0.4,60.003848874556745,
