words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1796.3044546961319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.1007928881881526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.016926087759202346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
car,cemtuper,&&&&&&&&,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,right,5.618344703994808,AMP_prac,right,5.618344703994808,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
keyboard,senk,&&&&,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,left,3.034338389610639,AMP_prac,left,3.034338389610639,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
scarf,bisebell,&&&&&&&&,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,left,1.2672291697672335,AMP_prac,left,1.2672291697672335,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
banana,kacket,&&&&&&,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,left,1.7840215165779227,AMP_prac,left,1.7840215165779227,,,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.5008810225117486,,,,,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
laming,vicissifude,&&&&&&&&&&&,None,nonword,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,1.517284333895077,,,left,0,1.517284333895077,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
fair,atson,&&&&&,left,fairness.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,2.167444309889106,,,left,1,2.167444309889106,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
care,halaise,&&&&&&&,left,care.virtue,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,right,1.350566779379733,,,right,0,1.350566779379733,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
Phintoism,ebbitter,&&&&&&&&,None,nonword,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7838040672650095,,,left,0,0.7838040672650095,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
great,esquisiteness,&&&&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,left,4.568079595424933,,,left,1,4.568079595424933,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
progress,coom,&&&&,left,authority.virtue,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,right,3.8512155993812485,,,right,0,3.8512155993812485,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
elduringly,rivernoat,&&&&&&&&&,None,nonword,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8171010735240998,,,left,0,0.8171010735240998,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
friends,papert,&&&&&&,left,loyalty.virtue,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,right,0.8837896989280125,,,right,0,0.8837896989280125,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
safety,nonobservalt,&&&&&&&&&&&&,left,care.virtue,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2005270740337437,,,left,1,1.2005270740337437,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
focomotive,gazily,&&&&&&,None,nonword,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6337348555243807,,,right,0,0.6337348555243807,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
black,pistraught,&&&&&&&&&&,right,loyalty.vice,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,left,3.3010771759145427,,,left,0,3.3010771759145427,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
carvels,fornicalion,&&&&&&&&&&&,None,nonword,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,left,2.10080443417246,,,left,0,2.10080443417246,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
sexual,frojecting,&&&&&&&&&&,right,sanctity.vice,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9671494383510435,,,left,0,0.9671494383510435,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
failure,uller,&&&&&,right,loyalty.vice,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,AMP,right,1.9007318227668293,,,right,1,1.9007318227668293,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
rebels,strofe,&&&&&&,right,authority.vice,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,AMP,right,0.7002823633811204,,,right,1,0.7002823633811204,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
accused,reviked,&&&&&&&,right,fairness.vice,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,AMP,right,1.7173672083881684,,,right,1,1.7173672083881684,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
arrests,rorroborated,&&&&&&&&&&&&,right,authority.vice,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7503713957266882,,,left,0,0.7503713957266882,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
strength,tomedians,&&&&&&&&&,left,sanctity.virtue,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8171106951776892,,,left,1,0.8171106951776892,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
hand,reelectiob,&&&&&&&&&&,left,sanctity.virtue,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9671475140203256,,,left,1,0.9671475140203256,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
protect,emports,&&&&&&&,left,fairness.virtue,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,AMP,right,1.8507290645648027,,,right,0,1.8507290645648027,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
fear,nomparisons,&&&&&&&&&&&,right,sanctity.vice,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,AMP,left,3.2343843811104307,,,left,0,3.2343843811104307,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
shot,yane,&&&&,right,care.vice,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5003723578993231,,,right,1,0.5003723578993231,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
useful,mih,&&&,left,authority.virtue,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,AMP,right,1.6340100347442785,,,right,0,1.6340100347442785,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
pleasant,perified,&&&&&&&&,None,control,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6837453110492788,,,right,0,0.6837453110492788,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
protesters,nomaric,&&&&&&&,right,authority.vice,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6003958347282605,,,left,0,0.6003958347282605,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
fighters,prones,&&&&&&,right,authority.vice,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,AMP,right,1.2505497169913724,,,right,1,1.2505497169913724,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
died,baklara,&&&&&&&,right,care.vice,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9171223052835558,,,left,0,0.9171223052835558,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
illegal,Boeinf,&&&&&&,right,fairness.vice,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,AMP,right,0.833780526285409,,,right,1,0.833780526285409,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
credit,allears,&&&&&&&,left,fairness.virtue,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8504503574076807,,,left,1,0.8504503574076807,1,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
praise,precificity,&&&&&&&&&&&,left,authority.virtue,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,AMP,right,0.3503477264603134,,,right,0,0.3503477264603134,0,,,,,,,,,,,,,,,,,,,,,,1079,2019_Mar_15_1437,mf_amp_cond1,3.0.4,59.998768454783615,
