words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,468.6592775831232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.7840369624318555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8007378499023616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
keyboard,senk,&&&&,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,left,2.3841855202335864,AMP_prac,left,2.3841855202335864,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
banana,kacket,&&&&&&,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,left,1.6339964553480968,AMP_prac,left,1.6339964553480968,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
car,cemtuper,&&&&&&&&,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,right,0.7171035202918574,AMP_prac,right,0.7171035202918574,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
scarf,bisebell,&&&&&&&&,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,right,0.4170202612876892,AMP_prac,right,0.4170202612876892,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.467535370728001,,,,,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
strength,godlaness,&&&&&&&&&,left,sanctity.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,0.7337755430489779,,,right,0,0.7337755430489779,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
restore,nomaric,&&&&&&&,left,care.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,0.48370322049595416,,,right,0,0.48370322049595416,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
betrayal,baklara,&&&&&&&,right,loyalty.vice,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5170498316874728,,,left,0,0.5170498316874728,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
values,sidearbs,&&&&&&&&,left,sanctity.virtue,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5504102339036763,,,right,0,0.5504102339036763,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
sonvoy,faspberry,&&&&&&&&&,None,nonword,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6504090150119737,,,right,0,0.6504090150119737,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
love,divility,&&&&&&&&,left,loyalty.virtue,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,right,0.3170012745540589,,,right,0,0.3170012745540589,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
army,ittutable,&&&&&&&&&,right,loyalty.vice,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6337443689117208,,,right,1,0.6337443689117208,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
hope,taxpayung,&&&&&&&&&,left,loyalty.virtue,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,right,0.33351389912422746,,,right,0,0.33351389912422746,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
celebrated,fegard,&&&&&&,left,authority.virtue,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,AMP,left,0.567034789826721,,,left,1,0.567034789826721,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
rejected,imebreaker,&&&&&&&&&&,right,authority.vice,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,right,0.45037232455797493,,,right,1,0.45037232455797493,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
safety,shoirmaster,&&&&&&&&&&&,left,care.virtue,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,left,0.4837045033928007,,,left,1,0.4837045033928007,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
protesters,gazily,&&&&&&,right,authority.vice,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5670588439097628,,,right,1,0.5670588439097628,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
riot,sgrawl,&&&&&&,right,authority.vice,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6170707426499575,,,right,1,0.6170707426499575,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
terrorists,scock,&&&&&,right,fairness.vice,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,AMP,left,0.3003558716736734,,,left,0,0.3003558716736734,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
slavery,scalbel,&&&&&&&,right,loyalty.vice,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,AMP,right,0.3836845544865355,,,right,1,0.3836845544865355,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
ability,lorthwhile,&&&&&&&&&&,left,authority.virtue,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6504240889335051,,,right,0,0.6504240889335051,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
perfect,pumber,&&&&&&,left,sanctity.virtue,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5670601268066093,,,right,0,0.5670601268066093,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
increase,dormandi,&&&&&&&&,left,care.virtue,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5003758845850825,,,right,0,0.5003758845850825,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
suicide,letish,&&&&&&,right,care.vice,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5002177692949772,,,left,0,0.5002177692949772,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
threatened,synchronazers,&&&&&&&&&&&&&,right,fairness.vice,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,AMP,left,0.3670109282247722,,,left,0,0.3670109282247722,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
freedom,ning,&&&&,left,sanctity.virtue,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,AMP,right,0.36700323096010834,,,right,0,0.36700323096010834,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
benefit,chreams,&&&&&&&,left,fairness.virtue,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6170668940758333,,,left,1,0.6170668940758333,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
pafer,mih,&&&,None,nonword,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,AMP,right,0.35032351093832403,,,right,0,0.35032351093832403,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
killed,uller,&&&&&,right,care.vice,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,AMP,right,0.20027658948674798,,,right,1,0.20027658948674798,1,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
accused,totalestic,&&&&&&&&&&,right,fairness.vice,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6337469347054139,,,left,0,0.6337469347054139,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
men,tracious,&&&&&&&&,right,loyalty.vice,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,AMP,left,0.3170240457402542,,,left,0,0.3170240457402542,0,,,,,,,,,,,,,,,,,,,,,,1003,2019_Mar_01_1458,mf_amp_cond1,3.0.4,60.038935105552675,
