,category,corr_ans,masks,words,symbols
0,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_43.png
1,loyalty.vice,right,&&&&&&,groups,images/symbols/symbol_63.png
2,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_30.png
3,care.virtue,left,&&&&&&,health,images/symbols/symbol_18.png
4,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_33.png
5,control,right,&&&&&&&,pleasant,images/symbols/symbol_35.png
6,care.vice,right,&&&&&&,victim,images/symbols/symbol_50.png
7,care.virtue,left,&&&&&&,growth,images/symbols/symbol_31.png
8,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_24.png
9,nonword,,&&&&&&,shypse,images/symbols/symbol_17.png
10,loyalty.vice,right,&&&&&,black,images/symbols/symbol_34.png
11,care.virtue,left,&&&&,safe,images/symbols/symbol_21.png
12,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_3.png
13,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_7.png
14,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_66.png
15,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_19.png
16,fairness.virtue,left,&&&&&&,ensure,images/symbols/symbol_16.png
17,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_47.png
18,care.vice,right,&&&&,died,images/symbols/symbol_41.png
19,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_53.png
20,fairness.virtue,left,&&&,win,images/symbols/symbol_49.png
21,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_76.png
22,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_70.png
23,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_29.png
24,nonword,,&&&&&,noost,images/symbols/symbol_80.png
25,care.vice,right,&&&&&&,killed,images/symbols/symbol_15.png
26,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_11.png
27,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_8.png
28,nonword,,&&&&&&,clorze,images/symbols/symbol_5.png
29,care.vice,right,&&&&&&&,victims,images/symbols/symbol_75.png
30,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_45.png
31,authority.vice,right,&&&&,riot,images/symbols/symbol_14.png
32,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_60.png
33,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_26.png
34,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_25.png
35,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_72.png
36,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_57.png
37,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_78.png
38,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_44.png
39,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_22.png
40,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_20.png
41,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_42.png
42,fairness.vice,right,&&&&,hate,images/symbols/symbol_69.png
43,nonword,,&&&&&&,crarft,images/symbols/symbol_13.png
44,loyalty.vice,right,&&&&&&,troops,images/symbols/symbol_38.png
45,care.virtue,left,&&&&&&&,improve,images/symbols/symbol_2.png
46,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_59.png
47,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_73.png
48,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_54.png
49,authority.vice,right,&&&&&&&&&&&,prosecution,images/symbols/symbol_39.png
50,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_46.png
51,sanctity.vice,right,&&&,war,images/symbols/symbol_32.png
52,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_12.png
53,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_27.png
54,nonword,,&&&&&,cifte,images/symbols/symbol_48.png
55,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_79.png
56,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_40.png
57,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_77.png
58,sanctity.vice,right,&&&&,fear,images/symbols/symbol_28.png
59,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_55.png
60,authority.virtue,left,&&&&&,trust,images/symbols/symbol_81.png
61,nonword,,&&&&&,treas,images/symbols/symbol_74.png
62,nonword,,&&&&&,snauz,images/symbols/symbol_56.png
63,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_71.png
64,fairness.vice,right,&&&&,lies,images/symbols/symbol_65.png
65,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_6.png
66,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_58.png
67,nonword,,&&&&&,foald,images/symbols/symbol_67.png
68,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_1.png
69,nonword,,&&&&&&,dighnd,images/symbols/symbol_36.png
70,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_62.png
71,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_51.png
72,care.virtue,left,&&&&,care,images/symbols/symbol_61.png
73,care.virtue,left,&&&&,help,images/symbols/symbol_68.png
74,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_37.png
75,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_82.png
76,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_4.png
77,nonword,,&&&&&,wence,images/symbols/symbol_9.png
78,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_64.png
79,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_23.png
80,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_52.png
81,fairness.virtue,left,&&&&,fair,images/symbols/symbol_10.png
