,category,corr_ans,masks,words,symbols
0,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_50.png
1,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_30.png
2,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_29.png
3,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_11.png
4,nonword,,&&&&&&,stryct,images/symbols/symbol_52.png
5,nonword,,&&&&&&&,slypped,images/symbols/symbol_74.png
6,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_42.png
7,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_53.png
8,sanctity.vice,right,&&&&&&,sexual,images/symbols/symbol_35.png
9,care.virtue,left,&&&&,safe,images/symbols/symbol_47.png
10,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_13.png
11,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_62.png
12,nonword,,&&&&&,frord,images/symbols/symbol_78.png
13,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_61.png
14,care.vice,right,&&&&&&&,victims,images/symbols/symbol_76.png
15,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_80.png
16,control,right,&&&&&&&,pleasant,images/symbols/symbol_82.png
17,loyalty.vice,right,&&&&&&&,critics,images/symbols/symbol_39.png
18,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_25.png
19,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_60.png
20,nonword,,&&&&&,phiks,images/symbols/symbol_70.png
21,authority.vice,right,&&&&&&&&&&&,prosecution,images/symbols/symbol_73.png
22,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_7.png
23,care.virtue,left,&&&&,good,images/symbols/symbol_6.png
24,care.virtue,left,&&&&&&,safety,images/symbols/symbol_56.png
25,nonword,,&&&&&&&&,rhoalled,images/symbols/symbol_3.png
26,fairness.vice,right,&&&&&&&,illegal,images/symbols/symbol_31.png
27,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_24.png
28,care.virtue,left,&&&&&,peace,images/symbols/symbol_38.png
29,care.virtue,left,&&&&,care,images/symbols/symbol_44.png
30,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_27.png
31,sanctity.vice,right,&&&&&&&,scandal,images/symbols/symbol_69.png
32,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_63.png
33,fairness.vice,right,&&&&&,voter,images/symbols/symbol_16.png
34,care.vice,right,&&&&&&&,torture,images/symbols/symbol_15.png
35,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_21.png
36,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_65.png
37,nonword,,&&&&&,doars,images/symbols/symbol_71.png
38,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_32.png
39,nonword,,&&&&&,peizz,images/symbols/symbol_68.png
40,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_66.png
41,authority.vice,right,&&&&&&&,arrests,images/symbols/symbol_14.png
42,nonword,,&&&&&&&,phlaizz,images/symbols/symbol_12.png
43,fairness.virtue,left,&&&&&&&&&,integrity,images/symbols/symbol_4.png
44,fairness.virtue,left,&&&&&&&&&&&,opportunity,images/symbols/symbol_43.png
45,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_59.png
46,sanctity.vice,right,&&&&,fear,images/symbols/symbol_75.png
47,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_48.png
48,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_64.png
49,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_28.png
50,fairness.vice,right,&&&&&,crime,images/symbols/symbol_19.png
51,loyalty.virtue,left,&&&&&&&&,promised,images/symbols/symbol_18.png
52,loyalty.vice,right,&&&&&&&&,betrayal,images/symbols/symbol_40.png
53,fairness.virtue,left,&&&&,free,images/symbols/symbol_49.png
54,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_79.png
55,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_81.png
56,care.vice,right,&&&&,shot,images/symbols/symbol_2.png
57,fairness.virtue,left,&&&,win,images/symbols/symbol_10.png
58,loyalty.vice,right,&&&,men,images/symbols/symbol_67.png
59,authority.virtue,left,&&&&&,trust,images/symbols/symbol_36.png
60,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_34.png
61,care.vice,right,&&&&&&&,injured,images/symbols/symbol_9.png
62,nonword,,&&&&&,rhaps,images/symbols/symbol_51.png
63,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_23.png
64,care.vice,right,&&&&&,death,images/symbols/symbol_22.png
65,loyalty.vice,right,&&&&&&,troops,images/symbols/symbol_37.png
66,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_72.png
67,care.virtue,left,&&&&&&,health,images/symbols/symbol_57.png
68,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_20.png
69,sanctity.virtue,left,&&&&&&&&,strength,images/symbols/symbol_46.png
70,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_5.png
71,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_55.png
72,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_77.png
73,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_54.png
74,loyalty.vice,right,&&&&&&,groups,images/symbols/symbol_1.png
75,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_26.png
76,care.virtue,left,&&&&,help,images/symbols/symbol_8.png
77,loyalty.virtue,left,&&&&&&&,praised,images/symbols/symbol_45.png
78,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_58.png
79,fairness.virtue,left,&&&&&&,credit,images/symbols/symbol_33.png
80,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_17.png
81,nonword,,&&&&&,rhoas,images/symbols/symbol_41.png
