,category,corr_ans,masks,words,symbols
314,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_82.png
315,authority.virtue,left,&&&&&,trust,images/symbols/symbol_37.png
316,care.virtue,left,&&&&,help,images/symbols/symbol_26.png
317,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_5.png
318,nonword,,&&&&&,snauz,images/symbols/symbol_46.png
319,sanctity.vice,right,&&&,war,images/symbols/symbol_32.png
320,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_39.png
321,nonword,,&&&&&,wence,images/symbols/symbol_71.png
322,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_51.png
323,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_42.png
324,fairness.virtue,left,&&&,win,images/symbols/symbol_75.png
325,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_70.png
326,fairness.vice,right,&&&&,lies,images/symbols/symbol_6.png
327,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_64.png
