,category,corr_ans,masks,words,symbols
0,care.vice,right,&&&&,shot,images/symbols/symbol_66.png
1,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_18.png
2,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_58.png
3,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_52.png
4,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_3.png
5,fairness.virtue,left,&&&&&&&&&,integrity,images/symbols/symbol_59.png
6,authority.virtue,left,&&&&&&&&,powerful,images/symbols/symbol_17.png
7,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_8.png
8,nonword,,&&&&&&&,squauzz,images/symbols/symbol_6.png
9,nonword,,&&&&&,rhoas,images/symbols/symbol_39.png
10,care.vice,right,&&&&&,death,images/symbols/symbol_61.png
11,care.virtue,left,&&&&&&&&&&,compassion,images/symbols/symbol_80.png
12,care.virtue,left,&&&&,good,images/symbols/symbol_64.png
13,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_45.png
14,sanctity.vice,right,&&&&&&&,scandal,images/symbols/symbol_19.png
15,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_7.png
16,care.virtue,left,&&&&&,peace,images/symbols/symbol_23.png
17,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_76.png
18,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_49.png
19,nonword,,&&&&&,wayed,images/symbols/symbol_65.png
20,control,right,&&&&&&&,pleasant,images/symbols/symbol_33.png
21,nonword,,&&&&&,foald,images/symbols/symbol_36.png
22,sanctity.vice,right,&&&&&&,racist,images/symbols/symbol_81.png
23,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_16.png
24,fairness.vice,right,&&&&,hate,images/symbols/symbol_53.png
25,care.vice,right,&&&&&&,killed,images/symbols/symbol_74.png
26,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_12.png
27,loyalty.vice,right,&&&&&&&&,betrayal,images/symbols/symbol_1.png
28,authority.vice,right,&&&,gun,images/symbols/symbol_75.png
29,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_69.png
30,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_82.png
31,nonword,,&&&&&&&,phegned,images/symbols/symbol_32.png
32,loyalty.vice,right,&&&,ban,images/symbols/symbol_34.png
33,nonword,,&&&&&,yakks,images/symbols/symbol_30.png
34,fairness.vice,right,&&&&&&&,illegal,images/symbols/symbol_27.png
35,care.virtue,left,&&&&&&,safety,images/symbols/symbol_38.png
36,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_50.png
37,fairness.virtue,left,&&&,win,images/symbols/symbol_15.png
38,authority.vice,right,&&&&&&&,arrests,images/symbols/symbol_2.png
39,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_26.png
40,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_4.png
41,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_55.png
42,nonword,,&&&&&&&&&,wraughsed,images/symbols/symbol_54.png
43,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_21.png
44,care.virtue,left,&&&&&&,growth,images/symbols/symbol_46.png
45,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_79.png
46,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_70.png
47,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_67.png
48,loyalty.virtue,left,&&&&&&&,praised,images/symbols/symbol_24.png
49,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_20.png
50,nonword,,&&&&&&,mawlde,images/symbols/symbol_72.png
51,loyalty.vice,right,&&&&&&,groups,images/symbols/symbol_35.png
52,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_10.png
53,fairness.virtue,left,&&&&,fair,images/symbols/symbol_44.png
54,fairness.vice,right,&&&&,lies,images/symbols/symbol_31.png
