words,mask,category,corr_ans,index,symbol,masks,symbols,conditionfile,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,LDT_pracs_1.thisRepN,LDT_pracs_1.thisTrialN,LDT_pracs_1.thisN,LDT_pracs_1.thisIndex,LDT_trials_1.thisRepN,LDT_trials_1.thisTrialN,LDT_trials_1.thisN,LDT_trials_1.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,text.started,text.stopped,begin_key.keys,begin_key.rt,begin_key.started,begin_key.stopped,instr_2.started,instr_2.stopped,instr_3.started,instr_3.stopped,instr_4.started,instr_4.stopped,instr_5.started,instr_5.stopped,instr_6.started,instr_6.stopped,position_reminder.started,position_reminder.stopped,instr_7.started,instr_7.stopped,key_resp_instr.keys,key_resp_instr.started,key_resp_instr.stopped,exp_time,instr_LDT1.started,instr_LDT1.stopped,instr_LDT2.started,instr_LDT2.stopped,instr_LDT3.started,instr_LDT3.stopped,instr_LDT4.started,instr_LDT4.stopped,instr_LDT5.started,instr_LDT5.stopped,instr_LDT6.started,instr_LDT6.stopped,image_3.started,image_3.stopped,keyboard_reminder_LDT.started,keyboard_reminder_LDT.stopped,instr_LDT7.started,instr_LDT7.stopped,instr_LT8.started,instr_LT8.stopped,instr_LDT9_.started,instr_LDT9_.stopped,key_resp_LDT_instr.keys,key_resp_LDT_instr.started,key_resp_LDT_instr.stopped,LDT_fix_cross.started,LDT_fix_cross.stopped,LDT_word_prac.started,LDT_word_prac.stopped,LDT_mask_prac.started,LDT_mask_prac.stopped,resp_LDT_prac.keys,resp_LDT_prac.started,resp_LDT_prac.stopped,task,keypress,LDT_dur,RT,corr,key_reminder_3.started,key_reminder_3.stopped,instr_LDT9.started,instr_LDT9.stopped,instr_LDT10.started,instr_LDT10.stopped,image_6.started,image_6.stopped,instr_LDT11.started,instr_LDT11.stopped,resp_LDT_ready.keys,resp_LDT_ready.started,resp_LDT_ready.stopped,LDT_word_trial.started,LDT_word_trial.stopped,LDT_mask_trial.started,LDT_mask_trial.stopped,resp_LDT_trial.keys,resp_LDT_trial.corr,resp_LDT_trial.rt,resp_LDT_trial.started,resp_LDT_trial.stopped,key_reminder.started,key_reminder.stopped,LDT_rating.response,LDT_rating.rt,LDT_rating.started,LDT_rating.stopped,LDT_feedback_inst.started,LDT_feedback_inst.stopped,instr_sym1.started,instr_sym1.stopped,instr_sym2.started,instr_sym2.stopped,instr_sym3.started,instr_sym3.stopped,instr_sym4.started,instr_sym4.stopped,instr_sym5.started,instr_sym5.stopped,logo_example.started,logo_example.stopped,instr_sym6.started,instr_sym6.stopped,logo_prac_layout_reminder.started,logo_prac_layout_reminder.stopped,instr_sym7.started,instr_sym7.stopped,instr_sym8.started,instr_sym8.stopped,resp_sym_rate.keys,resp_sym_rate.started,resp_sym_rate.stopped,img_logo_prac.started,img_logo_prac.stopped,mask_logo_prac.started,mask_logo_prac.stopped,key_reminder_logo_prac.started,key_reminder_logo_prac.stopped,sym_resp_1.keys,sym_resp_1.rt,sym_resp_1.started,sym_resp_1.stopped,instr_sym9.started,instr_sym9.stopped,instr_sym10.started,instr_sym10.stopped,sym_layout_reminder.started,sym_layout_reminder.stopped,instr_sym11.started,instr_sym11.stopped,sym_resp_2.keys,sym_resp_2.started,sym_resp_2.stopped,img_logo_trial.started,img_logo_trial.stopped,mask_logo_trial.started,mask_logo_trial.stopped,key_reminder_logo_trial.started,key_reminder_logo_trial.stopped,sym_resp_trial.keys,sym_resp_trial.started,sym_resp_trial.stopped,symbol_id,instr_AMP1_1.started,instr_AMP1_1.stopped,instr_AMP1_2.started,instr_AMP1_2.stopped,instr_AMP1_3.started,instr_AMP1_3.stopped,instr_AMP1_4.started,instr_AMP1_4.stopped,instr_AMP1_5.started,instr_AMP1_5.stopped,instr_AMP1_6.started,instr_AMP1_6.stopped,image_4.started,image_4.stopped,instr_AMP1_7.started,instr_AMP1_7.stopped,instr_AMP1_8.started,instr_AMP1_8.stopped,instr_AMP1_9.started,instr_AMP1_9.stopped,instr_AMP1_10.started,instr_AMP1_10.stopped,resp_AMP_ready1.keys,resp_AMP_ready1.started,resp_AMP_ready1.stopped,AMP_wordstim_2.started,AMP_wordstim_2.stopped,AMP_key_reminder_1.started,AMP_key_reminder_1.stopped,img_logo_AMP.started,img_logo_AMP.stopped,mask_AMP.started,mask_AMP.stopped,AMP_key_reminder.started,AMP_key_reminder.stopped,resp_AMP.keys,resp_AMP.started,resp_AMP.stopped,prime_dur,instr_AMP2_1.started,instr_AMP2_1.stopped,instr_AMP2_2.started,instr_AMP2_2.stopped,image_5.started,image_5.stopped,instr_AMP2_3.started,instr_AMP2_3.stopped,resp_AMP_ready.keys,resp_AMP_ready.started,resp_AMP_ready.stopped,instr_AMP3_1.started,instr_AMP3_1.stopped,img_logo_AMP_trials.started,img_logo_AMP_trials.stopped,mask_AMP_2.started,mask_AMP_2.stopped,AMP_key_reminder_2.started,AMP_key_reminder_2.stopped,resp_AMP_trials.keys,resp_AMP_trials.rt,resp_AMP_trials.started,resp_AMP_trials.stopped,rest_txt1.started,rest_txt1.stopped,rest_key_resp.keys,rest_key_resp.rt,rest_key_resp.started,rest_key_resp.stopped,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_nonword_rating.started,AMP_nonword_rating.stopped,AMP_word_rating.response,AMP_word_rating.rt,AMP_word_rating.started,AMP_word_rating.stopped,AMP_random_rating.response,AMP_random_rating.rt,AMP_random_rating.started,AMP_random_rating.stopped,AMP_feedback_instr.started,AMP_feedback_instr.stopped,participant ID,date,expName,psychopyVersion,frameRate,
,,,,12,images/symbols/symbol_3.png,,,,,,,,,,,,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.433133204001933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,symbols,None,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.530157594010234,None,None,None,35.530157594010234,None,None,35.530157594010234,None,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82999848993495,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
car,,,,,,&&&,images/symbols/symbol_9.png,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.768342855153605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP_prac,None,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67997206002474,36.69655744009651,36.67997206002474,None,36.93008290394209,37.43009838601574,37.43009838601574,None,36.913843085989356,None,None,36.913843085989356,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8134591600392,None,41.79843473804649,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
promised,,loyalty.virtue,left,,,&&&&&&&&,images/symbols/symbol_81.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,24.603815254056826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.5215402930043638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,45.86645551305264,45.883028536103666,45.86645551305264,None,,,,,,,,,,1,,,,,,,,,,,,41.79803415690549,None,46.11631198506802,46.61641919706017,46.61641919706017,None,46.09973357291892,None,right,0.5215402930043638,46.09973357291892,None,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
sexual,,sanctity.vice,right,,,&&&&&&,images/symbols/symbol_28.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,25.27010702015832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.413166152080521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,46.649810215923935,46.66675634798594,46.649810215923935,None,,,,,,,,,,1,,,,,,,,,,,,,,46.90006036590785,None,None,None,46.883198539027944,None,left,0.413166152080521,46.883198539027944,None,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
men,,loyalty.vice,right,,,&&&,images/symbols/symbol_23.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,25.986309248022735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.48201799392700195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,47.31665404303931,47.333335956092924,47.31665404303931,None,,,,,,,,,,1,,,,,,,,,,,,,,47.55013021011837,None,None,None,47.53426215890795,None,right,0.48201799392700195,47.53426215890795,None,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
loyalty,,loyalty.virtue,left,,,&&&&&&&,images/symbols/symbol_77.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,26.703383359126747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.47515245992690325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,48.03335228492506,48.05026698298752,48.03335228492506,None,,,,,,,,,,1,,,,,,,,,,,,,,48.26707477797754,None,None,None,48.25024141604081,None,left,0.47515245992690325,48.25024141604081,None,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
attacks,,care.vice,right,,,&&&&&&&,images/symbols/symbol_32.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,27.38684465806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.4443496069870889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,48.75036374293268,48.76698422105983,48.75036374293268,None,,,,,,,,,,1,,,,,,,,,,,,,,48.98358350992203,None,None,None,48.96697423909791,None,right,0.4443496069870889,48.96697423909791,None,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
charges,,fairness.vice,right,,,&&&&&&&,images/symbols/symbol_45.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,28.037374458042905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.40214683511294425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,49.433472997974604,49.44991301908158,49.433472997974604,None,,,,,,,,,,1,,,,,,,,,,,,,,49.667190422071144,None,None,None,49.65041416906752,None,left,0.40214683511294425,49.65041416906752,None,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1100,mf_amp,3.2.4,60.001002883537446,
