words,mask,category,corr_ans,index,symbol,masks,symbols,conditionfile,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,LDT_pracs_1.thisRepN,LDT_pracs_1.thisTrialN,LDT_pracs_1.thisN,LDT_pracs_1.thisIndex,LDT_trials_1.thisRepN,LDT_trials_1.thisTrialN,LDT_trials_1.thisN,LDT_trials_1.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,text.started,text.stopped,begin_key.keys,begin_key.rt,begin_key.started,begin_key.stopped,instr_2.started,instr_2.stopped,instr_3.started,instr_3.stopped,instr_4.started,instr_4.stopped,instr_5.started,instr_5.stopped,instr_6.started,instr_6.stopped,position_reminder.started,position_reminder.stopped,instr_7.started,instr_7.stopped,key_resp_instr.keys,key_resp_instr.started,key_resp_instr.stopped,exp_time,instr_LDT1.started,instr_LDT1.stopped,instr_LDT2.started,instr_LDT2.stopped,instr_LDT3.started,instr_LDT3.stopped,instr_LDT4.started,instr_LDT4.stopped,instr_LDT5.started,instr_LDT5.stopped,instr_LDT6.started,instr_LDT6.stopped,image_3.started,image_3.stopped,keyboard_reminder_LDT.started,keyboard_reminder_LDT.stopped,instr_LDT7.started,instr_LDT7.stopped,instr_LT8.started,instr_LT8.stopped,instr_LDT9_.started,instr_LDT9_.stopped,key_resp_LDT_instr.keys,key_resp_LDT_instr.started,key_resp_LDT_instr.stopped,LDT_fix_cross.started,LDT_fix_cross.stopped,LDT_word_prac.started,LDT_word_prac.stopped,LDT_mask_prac.started,LDT_mask_prac.stopped,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_prac.started,resp_LDT_prac.stopped,task,keypress,LDT_dur,RT,corr,key_reminder_3.started,key_reminder_3.stopped,instr_LDT9.started,instr_LDT9.stopped,instr_LDT10.started,instr_LDT10.stopped,image_6.started,image_6.stopped,instr_LDT11.started,instr_LDT11.stopped,resp_LDT_ready.keys,resp_LDT_ready.started,resp_LDT_ready.stopped,LDT_word_trial.started,LDT_word_trial.stopped,LDT_mask_trial.started,LDT_mask_trial.stopped,resp_LDT_trial.keys,resp_LDT_trial.corr,resp_LDT_trial.started,resp_LDT_trial.stopped,key_reminder.started,key_reminder.stopped,LDT_rating.response,LDT_rating.rt,LDT_rating.started,LDT_rating.stopped,LDT_feedback_inst.started,LDT_feedback_inst.stopped,instr_sym1.started,instr_sym1.stopped,instr_sym2.started,instr_sym2.stopped,instr_sym3.started,instr_sym3.stopped,instr_sym4.started,instr_sym4.stopped,instr_sym5.started,instr_sym5.stopped,logo_example.started,logo_example.stopped,instr_sym6.started,instr_sym6.stopped,logo_prac_layout_reminder.started,logo_prac_layout_reminder.stopped,instr_sym7.started,instr_sym7.stopped,instr_sym8.started,instr_sym8.stopped,resp_sym_rate.keys,resp_sym_rate.started,resp_sym_rate.stopped,img_logo_prac.started,img_logo_prac.stopped,mask_logo_prac.started,mask_logo_prac.stopped,key_reminder_logo_prac.started,key_reminder_logo_prac.stopped,sym_resp_1.keys,sym_resp_1.rt,sym_resp_1.started,sym_resp_1.stopped,instr_sym9.started,instr_sym9.stopped,instr_sym10.started,instr_sym10.stopped,sym_layout_reminder.started,sym_layout_reminder.stopped,instr_sym11.started,instr_sym11.stopped,sym_resp_2.keys,sym_resp_2.started,sym_resp_2.stopped,img_logo_trial.started,img_logo_trial.stopped,mask_logo_trial.started,mask_logo_trial.stopped,key_reminder_logo_trial.started,key_reminder_logo_trial.stopped,sym_resp_trial.keys,sym_resp_trial.started,sym_resp_trial.stopped,symbol_id,instr_AMP1_1.started,instr_AMP1_1.stopped,instr_AMP1_2.started,instr_AMP1_2.stopped,instr_AMP1_3.started,instr_AMP1_3.stopped,instr_AMP1_4.started,instr_AMP1_4.stopped,instr_AMP1_5.started,instr_AMP1_5.stopped,instr_AMP1_6.started,instr_AMP1_6.stopped,image_4.started,image_4.stopped,instr_AMP1_7.started,instr_AMP1_7.stopped,instr_AMP1_8.started,instr_AMP1_8.stopped,instr_AMP1_9.started,instr_AMP1_9.stopped,instr_AMP1_10.started,instr_AMP1_10.stopped,resp_AMP_ready1.keys,resp_AMP_ready1.started,resp_AMP_ready1.stopped,AMP_wordstim_2.started,AMP_wordstim_2.stopped,AMP_key_reminder_1.started,AMP_key_reminder_1.stopped,img_logo_AMP.started,img_logo_AMP.stopped,mask_AMP.started,mask_AMP.stopped,AMP_key_reminder.started,AMP_key_reminder.stopped,resp_AMP.keys,resp_AMP.rt,resp_AMP.started,resp_AMP.stopped,prime_dur,instr_AMP2_1.started,instr_AMP2_1.stopped,instr_AMP2_2.started,instr_AMP2_2.stopped,image_5.started,image_5.stopped,instr_AMP2_3.started,instr_AMP2_3.stopped,resp_AMP_ready.keys,resp_AMP_ready.started,resp_AMP_ready.stopped,instr_AMP3_1.started,instr_AMP3_1.stopped,img_logo_AMP_trials.started,img_logo_AMP_trials.stopped,mask_AMP_2.started,mask_AMP_2.stopped,AMP_key_reminder_2.started,AMP_key_reminder_2.stopped,resp_AMP_trials.keys,resp_AMP_trials.rt,resp_AMP_trials.started,resp_AMP_trials.stopped,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.622734535951167,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
car,,,,,,&&&,images/symbols/symbol_9.png,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.210908628068864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP_prac,right,,0.9574741190299392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.239696147851646,29.33951645786874,29.239696147851646,None,29.472851678961888,29.972973315045238,29.972973315045238,None,29.459167008986697,None,right,0.9574741190299392,29.459167008986697,None,6,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
banana,,,,,,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.245301919057965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP_prac,left,,0.7955761030316353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.439623618964106,30.539984858827665,30.439623618964106,None,30.67331269197166,31.173361429944634,31.173361429944634,None,30.656177524942905,None,left,0.7955761030316353,30.656177524942905,None,6,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
keyboard,,,,,,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.411935115931556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP_prac,right,,0.9029404849279672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.474298778921366,31.574387368978932,31.474298778921366,None,31.724285184871405,32.22435835888609,32.22435835888609,None,31.707662316970527,None,right,0.9029404849279672,31.707662316970527,None,6,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
scarf,,,,,,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.145666328957304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP_prac,None,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.640720296883956,32.7410345650278,32.640720296883956,None,32.874496986856684,None,33.3741797673516,None,32.85745343496092,None,None,,32.85745343496092,None,6,,,,,,,,,,,,,,,,,,,,,,,,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.37458641198464,37.37589055788703,37.35889895888977,None,None,None,None,None,None,None,None,,,,,,,,,,,,,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
credit,,fairness.virtue,left,,,&&&&&&,images/symbols/symbol_37.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,31.615111581981182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.999284285120666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,42.593968129949644,42.69405380892567,42.593968129949644,None,,,,,,,,,,,6,,,,,,,,,,,,39.00929177599028,None,42.84402691596188,43.34389351098798,43.34389351098798,None,42.82721052784473,None,right,0.999284285120666,42.82721052784473,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
care,,care.virtue,left,,,&&&&,images/symbols/symbol_23.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,32.698835101909935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.8178234479855746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,43.84405967686325,43.94437648705207,43.84405967686325,None,,,,,,,,,,,6,,,,,,,,,,,,,,44.094149940880015,44.5941222908441,44.5941222908441,None,44.07746979990043,None,left,0.8178234479855746,44.07746979990043,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
threatened,,fairness.vice,right,,,&&&&&&&&&&,images/symbols/symbol_64.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,33.832096588099375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.8989188219420612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,44.92747562285513,45.027572927996516,44.92747562285513,None,,,,,,,,,,,6,,,,,,,,,,,,,,45.160862726857886,45.661104392958805,45.661104392958805,None,45.14403325691819,None,right,0.8989188219420612,45.14403325691819,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
free,,fairness.virtue,left,,,&&&&,images/symbols/symbol_33.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,34.966618513921276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.890210964018479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,46.061055827885866,46.161361924838275,46.061055827885866,None,,,,,,,,,,,6,,,,,,,,,,,,,,46.29468962084502,46.79554348788224,46.79554348788224,None,46.2777391069103,None,left,0.890210964018479,46.2777391069103,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
