words,mask,category,corr_ans,index,symbol,masks,symbols,conditionfile,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,LDT_pracs_1.thisRepN,LDT_pracs_1.thisTrialN,LDT_pracs_1.thisN,LDT_pracs_1.thisIndex,LDT_trials_1.thisRepN,LDT_trials_1.thisTrialN,LDT_trials_1.thisN,LDT_trials_1.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,text.started,text.stopped,begin_key.keys,begin_key.rt,begin_key.started,begin_key.stopped,instr_2.started,instr_2.stopped,instr_3.started,instr_3.stopped,instr_4.started,instr_4.stopped,instr_5.started,instr_5.stopped,instr_6.started,instr_6.stopped,position_reminder.started,position_reminder.stopped,instr_7.started,instr_7.stopped,key_resp_instr.keys,key_resp_instr.started,key_resp_instr.stopped,exp_time,instr_LDT1.started,instr_LDT1.stopped,instr_LDT2.started,instr_LDT2.stopped,instr_LDT3.started,instr_LDT3.stopped,instr_LDT4.started,instr_LDT4.stopped,instr_LDT5.started,instr_LDT5.stopped,instr_LDT6.started,instr_LDT6.stopped,image_3.started,image_3.stopped,keyboard_reminder_LDT.started,keyboard_reminder_LDT.stopped,instr_LDT7.started,instr_LDT7.stopped,instr_LT8.started,instr_LT8.stopped,instr_LDT9_.started,instr_LDT9_.stopped,key_resp_LDT_instr.keys,key_resp_LDT_instr.started,key_resp_LDT_instr.stopped,LDT_fix_cross.started,LDT_fix_cross.stopped,LDT_word_prac.started,LDT_word_prac.stopped,LDT_mask_prac.started,LDT_mask_prac.stopped,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_prac.started,resp_LDT_prac.stopped,task,keypress,LDT_dur,RT,corr,key_reminder_3.started,key_reminder_3.stopped,instr_LDT9.started,instr_LDT9.stopped,instr_LDT10.started,instr_LDT10.stopped,image_6.started,image_6.stopped,instr_LDT11.started,instr_LDT11.stopped,resp_LDT_ready.keys,resp_LDT_ready.started,resp_LDT_ready.stopped,LDT_word_trial.started,LDT_word_trial.stopped,LDT_mask_trial.started,LDT_mask_trial.stopped,resp_LDT_trial.keys,resp_LDT_trial.corr,resp_LDT_trial.started,resp_LDT_trial.stopped,key_reminder.started,key_reminder.stopped,LDT_rating.response,LDT_rating.rt,LDT_rating.started,LDT_rating.stopped,LDT_feedback_inst.started,LDT_feedback_inst.stopped,instr_sym1.started,instr_sym1.stopped,instr_sym2.started,instr_sym2.stopped,instr_sym3.started,instr_sym3.stopped,instr_sym4.started,instr_sym4.stopped,instr_sym5.started,instr_sym5.stopped,logo_example.started,logo_example.stopped,instr_sym6.started,instr_sym6.stopped,logo_prac_layout_reminder.started,logo_prac_layout_reminder.stopped,instr_sym7.started,instr_sym7.stopped,instr_sym8.started,instr_sym8.stopped,resp_sym_rate.keys,resp_sym_rate.started,resp_sym_rate.stopped,img_logo_prac.started,img_logo_prac.stopped,mask_logo_prac.started,mask_logo_prac.stopped,key_reminder_logo_prac.started,key_reminder_logo_prac.stopped,sym_resp_1.keys,sym_resp_1.rt,sym_resp_1.started,sym_resp_1.stopped,instr_sym9.started,instr_sym9.stopped,instr_sym10.started,instr_sym10.stopped,sym_layout_reminder.started,sym_layout_reminder.stopped,instr_sym11.started,instr_sym11.stopped,sym_resp_2.keys,sym_resp_2.started,sym_resp_2.stopped,img_logo_trial.started,img_logo_trial.stopped,mask_logo_trial.started,mask_logo_trial.stopped,key_reminder_logo_trial.started,key_reminder_logo_trial.stopped,sym_resp_trial.keys,sym_resp_trial.started,sym_resp_trial.stopped,symbol_id,instr_AMP1_1.started,instr_AMP1_1.stopped,instr_AMP1_2.started,instr_AMP1_2.stopped,instr_AMP1_3.started,instr_AMP1_3.stopped,instr_AMP1_4.started,instr_AMP1_4.stopped,instr_AMP1_5.started,instr_AMP1_5.stopped,instr_AMP1_6.started,instr_AMP1_6.stopped,image_4.started,image_4.stopped,instr_AMP1_7.started,instr_AMP1_7.stopped,instr_AMP1_8.started,instr_AMP1_8.stopped,instr_AMP1_9.started,instr_AMP1_9.stopped,instr_AMP1_10.started,instr_AMP1_10.stopped,resp_AMP_ready1.keys,resp_AMP_ready1.started,resp_AMP_ready1.stopped,AMP_wordstim_2.started,AMP_wordstim_2.stopped,AMP_key_reminder_1.started,AMP_key_reminder_1.stopped,img_logo_AMP.started,img_logo_AMP.stopped,mask_AMP.started,mask_AMP.stopped,AMP_key_reminder.started,AMP_key_reminder.stopped,resp_AMP.keys,resp_AMP.rt,resp_AMP.started,resp_AMP.stopped,prime_dur,instr_AMP2_1.started,instr_AMP2_1.stopped,instr_AMP2_2.started,instr_AMP2_2.stopped,image_5.started,image_5.stopped,instr_AMP2_3.started,instr_AMP2_3.stopped,resp_AMP_ready.keys,resp_AMP_ready.started,resp_AMP_ready.stopped,instr_AMP3_1.started,instr_AMP3_1.stopped,img_logo_AMP_trials.started,img_logo_AMP_trials.stopped,mask_AMP_2.started,mask_AMP_2.stopped,AMP_key_reminder_2.started,AMP_key_reminder_2.stopped,resp_AMP_trials.keys,resp_AMP_trials.rt,resp_AMP_trials.started,resp_AMP_trials.stopped,participant ID,date,expName,psychopyVersion,frameRate,
progress,,authority.virtue,left,,,&&&&&&&&,images/symbols/symbol_72.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,36.11695417203009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.9037056101951748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,47.195308416849,47.295513714896515,47.195308416849,None,,,,,,,,,,,6,,,,,,,,,,,,,,47.429136351915076,47.92905460600741,47.92905460600741,None,47.412132371915504,None,right,0.9037056101951748,47.412132371915504,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
respect,,sanctity.virtue,left,,,&&&&&&&,images/symbols/symbol_27.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,37.233233090955764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.8671495029702783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,48.34556691884063,48.445768114877865,48.34556691884063,None,,,,,,,,,,,6,,,,,,,,,,,,,,48.57913343398832,49.07892050384544,49.07892050384544,None,48.56244574999437,None,left,0.8671495029702783,48.56244574999437,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
honored,,authority.virtue,left,,,&&&&&&&,images/symbols/symbol_56.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,38.36709306691773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.8866036769468337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,49.46242393599823,49.56233602785505,49.46242393599823,None,,,,,,,,,,,6,,,,,,,,,,,,,,49.696139747975394,50.1961392138619,50.1961392138619,None,49.67930218204856,None,right,0.8866036769468337,49.67930218204856,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
prosecution,,authority.vice,right,,,&&&&&&&&&&&,images/symbols/symbol_52.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,39.43463765503839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.8329189359210432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,50.5958123349119,50.69589918386191,50.5958123349119,None,,,,,,,,,,,6,,,,,,,,,,,,,,50.829442923888564,51.33027237793431,51.33027237793431,None,50.812540567014366,None,left,0.8329189359210432,50.812540567014366,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
help,,care.virtue,left,,,&&&&,images/symbols/symbol_34.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,40.50136792799458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,0.8230946511030197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,51.66358858393505,51.76374783087522,51.66358858393505,None,,,,,,,,,,,6,,,,,,,,,,,,,,51.89692033990286,52.39726681797765,52.39726681797765,None,51.880285245832056,None,right,0.8230946511030197,51.880285245832056,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
rebels,,authority.vice,right,,,&&&&&&,images/symbols/symbol_71.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,41.68506647297181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.9375851179938763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,52.73022269597277,52.83052691188641,52.73022269597277,None,,,,,,,,,,,6,,,,,,,,,,,,,,52.96392730087973,53.463690666947514,53.463690666947514,None,52.947025005938485,None,left,0.9375851179938763,52.947025005938485,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
safety,,care.virtue,left,,,&&&&&&,images/symbols/symbol_7.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,42.93520134803839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,1.0141359181143343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,53.91392772994004,54.01426043896936,53.91392772994004,None,,,,,,,,,,,6,,,,,,,,,,,,,,54.14753002882935,54.64721584203653,54.64721584203653,None,54.13046770403162,None,right,1.0141359181143343,54.13046770403162,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
praised,,loyalty.virtue,left,,,&&&&&&&,images/symbols/symbol_18.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,44.13585700793192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,0.9391837320290506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,55.16403993894346,55.26422626385465,55.16403993894346,None,,,,,,,,,,,6,,,,,,,,,,,,,,55.414064452052116,55.91441280487925,55.91441280487925,None,55.39763205591589,None,left,0.9391837320290506,55.39763205591589,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
strong,,loyalty.virtue,left,,,&&&&&&,images/symbols/symbol_17.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,45.63649177993648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,left,,1.2349941132124513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,56.365178853971884,56.46508250501938,56.365178853971884,None,,,,,,,,,,,6,,,,,,,,,,,,,,56.61510626785457,57.11539798788726,57.11539798788726,None,56.59849102492444,None,left,1.2349941132124513,56.59849102492444,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
harassment,,sanctity.vice,right,,,&&&&&&&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,46.90361444093287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMP,right,,1.022830176865682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,57.865210024872795,57.96555324201472,57.865210024872795,None,,,,,,,,,,,6,,,,,,,,,,,,,,58.098652102053165,58.59856834099628,58.59856834099628,None,58.081922268960625,None,right,1.022830176865682,58.081922268960625,None,999,2020_Jan_10_1108,mf_amp,3.2.4,59.961965898246476,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.132112935883924,59.23203172185458,59.132112935883924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
