,category,corr_ans,masks,words,symbols
212,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_2.png
213,loyalty.vice,right,&&&,men,images/symbols/symbol_75.png
214,care.vice,right,&&&&,died,images/symbols/symbol_65.png
215,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_50.png
216,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_22.png
217,fairness.virtue,left,&&&&&&&&&&&,opportunity,images/symbols/symbol_38.png
218,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_25.png
219,fairness.vice,right,&&&&&,crime,images/symbols/symbol_13.png
220,authority.vice,right,&&&&&&,police,images/symbols/symbol_39.png
221,nonword,,&&&&&,laudd,images/symbols/symbol_3.png
222,fairness.virtue,left,&&&&,fair,images/symbols/symbol_77.png
223,loyalty.virtue,left,&&&&&&&&,promised,images/symbols/symbol_46.png
224,loyalty.vice,right,&&&&&,black,images/symbols/symbol_20.png
225,loyalty.vice,right,&&&,ban,images/symbols/symbol_69.png
226,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_60.png
227,fairness.vice,right,&&&&,lies,images/symbols/symbol_30.png
228,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_47.png
229,nonword,,&&&&&,choes,images/symbols/symbol_28.png
230,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_15.png
231,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_79.png
232,nonword,,&&&&&,rhoas,images/symbols/symbol_4.png
233,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_12.png
234,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_67.png
235,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_5.png
236,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_18.png
237,care.virtue,left,&&&&,good,images/symbols/symbol_73.png
238,sanctity.vice,right,&&&&&&,sexual,images/symbols/symbol_40.png
239,sanctity.vice,right,&&&,war,images/symbols/symbol_78.png
240,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_9.png
241,care.vice,right,&&&&&&&,victims,images/symbols/symbol_55.png
242,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_66.png
243,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_57.png
