,category,corr_ans,masks,words,symbols
0,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_50.png
1,loyalty.vice,right,&&&&&,black,images/symbols/symbol_22.png
2,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_42.png
3,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_60.png
4,care.vice,right,&&&&&&,victim,images/symbols/symbol_25.png
5,care.vice,right,&&&&&&&,suicide,images/symbols/symbol_38.png
6,nonword,,&&&&&,yakks,images/symbols/symbol_18.png
7,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_72.png
8,loyalty.vice,right,&&&&,army,images/symbols/symbol_13.png
9,nonword,,&&&&&,sharz,images/symbols/symbol_29.png
10,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_80.png
11,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_28.png
12,fairness.virtue,left,&&&&,fair,images/symbols/symbol_64.png
13,nonword,,&&&&&&&,phegned,images/symbols/symbol_7.png
14,care.virtue,left,&&&&,care,images/symbols/symbol_53.png
15,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_26.png
16,care.vice,right,&&&&&&&,injured,images/symbols/symbol_52.png
17,nonword,,&&&&&&&,peighld,images/symbols/symbol_21.png
18,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_16.png
19,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_24.png
20,fairness.vice,right,&&&&&&,prison,images/symbols/symbol_3.png
21,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_41.png
22,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_44.png
23,nonword,,&&&&&,doars,images/symbols/symbol_77.png
24,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_9.png
25,fairness.virtue,left,&&&&&&&&&,integrity,images/symbols/symbol_75.png
26,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_70.png
27,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_43.png
28,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_6.png
29,authority.vice,right,&&&&,riot,images/symbols/symbol_27.png
30,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_76.png
31,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_79.png
32,sanctity.vice,right,&&&&,drug,images/symbols/symbol_17.png
33,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_4.png
34,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_37.png
35,care.vice,right,&&&&,died,images/symbols/symbol_20.png
36,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_63.png
37,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_69.png
38,care.vice,right,&&&&&&&,torture,images/symbols/symbol_35.png
39,nonword,,&&&&&&,graidd,images/symbols/symbol_12.png
40,care.virtue,left,&&&&&&,health,images/symbols/symbol_11.png
41,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_34.png
42,nonword,,&&&&&&,sneaze,images/symbols/symbol_8.png
43,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_54.png
44,nonword,,&&&&&&,ailled,images/symbols/symbol_73.png
45,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_78.png
46,loyalty.vice,right,&&&&&&&,critics,images/symbols/symbol_65.png
47,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_39.png
48,sanctity.vice,right,&&&&&&&,scandal,images/symbols/symbol_58.png
49,care.virtue,left,&&&&&,peace,images/symbols/symbol_49.png
50,loyalty.vice,right,&&&,ban,images/symbols/symbol_82.png
51,nonword,,&&&&&&&,psypped,images/symbols/symbol_57.png
52,nonword,,&&&&&&&,bluphte,images/symbols/symbol_33.png
53,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_5.png
54,fairness.vice,right,&&&&&,voter,images/symbols/symbol_30.png
55,sanctity.vice,right,&&&&,fear,images/symbols/symbol_14.png
56,loyalty.virtue,left,&&&&,love,images/symbols/symbol_59.png
57,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_47.png
58,care.vice,right,&&&&,shot,images/symbols/symbol_62.png
59,authority.vice,right,&&&&&&,police,images/symbols/symbol_48.png
60,fairness.virtue,left,&&&&&&,credit,images/symbols/symbol_46.png
61,care.virtue,left,&&&&,good,images/symbols/symbol_36.png
62,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_71.png
63,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_61.png
64,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_23.png
65,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_1.png
66,loyalty.virtue,left,&&&&&&&,praised,images/symbols/symbol_19.png
67,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_51.png
68,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_15.png
69,fairness.virtue,left,&&&&&&&&&,interests,images/symbols/symbol_45.png
70,authority.virtue,left,&&&&&&&&,peaceful,images/symbols/symbol_40.png
71,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_66.png
72,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_74.png
73,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_56.png
74,care.virtue,left,&&&&&&&&&&,compassion,images/symbols/symbol_32.png
75,control,right,&&&&&&&,pleasant,images/symbols/symbol_55.png
76,sanctity.virtue,left,&&&&&&&&,strength,images/symbols/symbol_81.png
77,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_2.png
78,care.vice,right,&&&&&&&,victims,images/symbols/symbol_67.png
79,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_68.png
80,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_10.png
81,fairness.vice,right,&&&&&,crime,images/symbols/symbol_31.png
