,category,corr_ans,mask,words
0,care.virtue,left,&&&&,good
1,care.virtue,left,&&&&,safe
2,care.virtue,left,&&&&&&&,improve
3,care.virtue,left,&&&&&&&&,increase
4,care.virtue,left,&&&&&&&,restore
5,care.vice,left,&&&&&&,killed
6,care.vice,left,&&&&&&&&&,civilians
7,care.vice,left,&&&&&&&,torture
8,care.vice,left,&&&&&&&,victims
9,care.vice,left,&&&&&&&,injured
10,fairness.virtue,left,&&&&,free
11,fairness.virtue,left,&&&&&&&&&,integrity
12,fairness.virtue,left,&&&&&&,credit
13,fairness.virtue,left,&&&&&&&&&,agreement
14,fairness.virtue,left,&&&&,fair
15,fairness.vice,left,&&&&,hate
16,fairness.vice,left,&&&&&&&,charges
17,fairness.vice,left,&&&&&&&&&&,threatened
18,fairness.vice,left,&&&&&&,forced
19,fairness.vice,left,&&&&&&&&&&,terrorists
20,loyalty.virtue,left,&&&&&&&&&&&&,intelligence
21,loyalty.virtue,left,&&&&&&&,friends
22,loyalty.virtue,left,&&&&&,party
23,loyalty.virtue,left,&&&&&&&,loyalty
24,loyalty.virtue,left,&&&&&&&,praised
25,loyalty.vice,left,&&&&&&&,slavery
26,loyalty.vice,left,&&&&&&,blamed
27,loyalty.vice,left,&&&,men
28,loyalty.vice,left,&&&&,army
29,loyalty.vice,left,&&&&&&&&,betrayal
30,authority.virtue,left,&&&&&&&&,actively
31,authority.virtue,left,&&&&&&&&&&,celebrated
32,authority.virtue,left,&&&&&&&,ability
33,authority.virtue,left,&&&&&&&&,progress
34,authority.virtue,left,&&&&&&&&&,encourage
35,authority.vice,left,&&&&&&,police
36,authority.vice,left,&&&&&&&&,rejected
37,authority.vice,left,&&&&&&&&&&,protesters
38,authority.vice,left,&&&&&&&&&&&,prosecution
39,authority.vice,left,&&&&,riot
40,sanctity.virtue,left,&&&&&&&,freedom
41,sanctity.virtue,left,&&&&&,faith
42,sanctity.virtue,left,&&&&,hand
43,sanctity.virtue,left,&&&&&&&,perfect
44,sanctity.virtue,left,&&&&&&,energy
45,sanctity.vice,left,&&&&&,abuse
46,sanctity.vice,left,&&&&,drug
47,sanctity.vice,left,&&&&,fear
48,sanctity.vice,left,&&&&&&&&&&,corruption
49,sanctity.vice,left,&&&&&&&&&&,harassment
50,neutral,left,&&&&&&&&,latterly
51,neutral,left,&&&&&&,hereby
52,neutral,left,&&&&&,forty
53,neutral,left,&&&&&&&&,although
54,neutral,left,&&&&&&&&&&,whereafter
55,neutral,left,&&&&,also
56,neutral,left,&&&&&&&&,wherever
57,neutral,left,&&&&&&,either
58,neutral,left,&&&&&,about
59,neutral,left,&&&&&&&&&&,everything
60,neutral,left,&&&&&,three
61,neutral,left,&&&&&,fifty
62,neutral,left,&&&&&,hence
63,neutral,left,&&&&&&,amount
64,neutral,left,&&&&&&,latter
65,neutral,left,&&&&&&&&,amoungst
66,neutral,left,&&&&&&&,whither
67,neutral,left,&&&&,each
68,neutral,left,&&&&,thru
69,neutral,left,&&&&&,could
70,neutral,left,&&&&&&,myself
71,neutral,left,&&&&&&&,fifteen
72,neutral,left,&&&&&,eight
73,neutral,left,&&&&,less
74,neutral,left,&&&&&&&&&,elsewhere
75,neutral,left,&&&&&&&,couldnt
76,neutral,left,&&&&&&&,besides
77,neutral,left,&&&&,even
78,neutral,left,&&&&,both
79,neutral,left,&&&&&&&,towards
80,neutral,left,&&&&,give
81,neutral,left,&&&&,done
82,neutral,left,&&&&&,noone
83,neutral,left,&&&&&&&&&,therefore
84,neutral,left,&&&&,with
85,neutral,left,&&&&,else
86,neutral,left,&&&&&&,toward
87,neutral,left,&&&&&&&&,anything
88,neutral,left,&&&&&&&,somehow
89,neutral,left,&&&&&,least
90,neutral,left,&&&&,were
91,neutral,left,&&&&&,there
92,neutral,left,&&&&,been
93,neutral,left,&&&&&,front
94,neutral,left,&&&&&&,mostly
95,neutral,left,&&&&,seem
96,neutral,left,&&&&&&,itself
97,neutral,left,&&&&&&&,further
98,neutral,left,&&&&&&,anyhow
99,neutral,left,&&&&&&,become
100,nonword,left,&&&&&&&,spraize
101,nonword,left,&&&&&&,knewed
102,nonword,left,&&&&&&,dighnd
103,nonword,left,&&&&&&,mawlde
104,nonword,left,&&&&&,weudd
105,nonword,left,&&&&&,rheys
106,nonword,left,&&&&&&,phluks
107,nonword,left,&&&&&&,clorze
108,nonword,left,&&&&&,wayed
109,nonword,left,&&&&&&,crarft
110,nonword,left,&&&&&&&,stailde
111,nonword,left,&&&&&,phiks
112,nonword,left,&&&&&,spewd
113,nonword,left,&&&&&&,stintz
114,nonword,left,&&&&&,skard
115,nonword,left,&&&&&&,chawde
116,nonword,left,&&&&&&,wreize
117,nonword,left,&&&&&&&,squauzz
118,nonword,left,&&&&&,kuntz
119,nonword,left,&&&&&,cifte
120,nonword,left,&&&&&&&&,rhuissed
121,nonword,left,&&&&&&&&,rhailled
122,nonword,left,&&&&&,snoze
123,nonword,left,&&&&&,thinx
124,nonword,left,&&&&&,yakks
125,nonword,left,&&&&&,twild
126,nonword,left,&&&&&&,stroad
127,nonword,left,&&&&&&,phigns
128,nonword,left,&&&&&&,wraize
129,nonword,left,&&&&&&&,phlaizz
130,nonword,left,&&&&&&&,pseighs
131,nonword,left,&&&&&&,prinse
132,nonword,left,&&&&&&,psured
133,nonword,left,&&&&&&,graidd
134,nonword,left,&&&&&&,gnoozz
135,nonword,left,&&&&&,plonx
136,nonword,left,&&&&&,frord
137,nonword,left,&&&&&,rhaps
138,nonword,left,&&&&&&&,splysed
139,nonword,left,&&&&&,koozz
140,nonword,left,&&&&&,choes
141,nonword,left,&&&&&&,shypse
142,nonword,left,&&&&&,beest
143,nonword,left,&&&&&,feuld
144,nonword,left,&&&&&&&&,rhoalled
145,nonword,left,&&&&&&,sweede
146,nonword,left,&&&&&,naidd
147,nonword,left,&&&&&,bipht
148,nonword,left,&&&&&,fourz
149,nonword,left,&&&&&&&,gryssed
150,nonword,left,&&&&&&&,preighs
151,nonword,left,&&&&&&,stryct
152,nonword,left,&&&&&&&&&,wraughsed
153,nonword,left,&&&&&&&&,pheassed
154,nonword,left,&&&&&,noost
155,nonword,left,&&&&&&&,phegned
156,nonword,left,&&&&&&,freazz
157,nonword,left,&&&&&,phlux
158,nonword,left,&&&&&&&,spauned
159,nonword,left,&&&&&,laudd
160,nonword,left,&&&&&&&,stealde
161,nonword,left,&&&&&,doars
162,nonword,left,&&&&&,winze
163,nonword,left,&&&&&,snauz
164,nonword,left,&&&&&&&&,creinned
165,nonword,left,&&&&&&,feulde
166,nonword,left,&&&&&,treas
167,nonword,left,&&&&&&&,psypped
168,nonword,left,&&&&&&,stourz
169,nonword,left,&&&&&,cande
170,nonword,left,&&&&&&&,wrantse
171,nonword,left,&&&&&&,spynze
172,nonword,left,&&&&&,rhoas
173,nonword,left,&&&&&&&&&,wheighlde
174,nonword,left,&&&&&&&,slypped
175,nonword,left,&&&&&,coacs
176,nonword,left,&&&&&&&,skypped
177,nonword,left,&&&&&&&,roossed
178,nonword,left,&&&&&&,drighs
179,nonword,left,&&&&&&,brored
180,nonword,left,&&&&&&&,bluphte
181,nonword,left,&&&&&&,psyncs
182,nonword,left,&&&&&,wepte
183,nonword,left,&&&&&&&&&,spreussed
184,nonword,left,&&&&&&&,phlaide
185,nonword,left,&&&&&,jipte
186,nonword,left,&&&&&&&,lighnde
187,nonword,left,&&&&&,peizz
188,nonword,left,&&&&&,sharz
189,nonword,left,&&&&&&,sneaze
190,nonword,left,&&&&&&,knapps
191,nonword,left,&&&&&&&,troalde
192,nonword,left,&&&&&&&,yeussed
193,nonword,left,&&&&&&&,peighld
194,nonword,left,&&&&&,foald
195,nonword,left,&&&&&&,ailled
196,nonword,left,&&&&&,daizz
197,nonword,left,&&&&&,crict
198,nonword,left,&&&&&&,dynned
199,nonword,left,&&&&&&&,scourld
