,category,corr_ans,masks,words,symbols
0,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_51.png
1,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_78.png
2,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_73.png
3,authority.virtue,left,&&&&&&&&,peaceful,images/symbols/symbol_76.png
4,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_47.png
5,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_77.png
6,sanctity.vice,right,&&&&,fear,images/symbols/symbol_43.png
7,sanctity.virtue,left,&&&&&&&&,strength,images/symbols/symbol_27.png
8,fairness.virtue,left,&&&&,fair,images/symbols/symbol_20.png
9,sanctity.vice,right,&&&&,drug,images/symbols/symbol_44.png
10,loyalty.vice,right,&&&&&,black,images/symbols/symbol_74.png
11,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_9.png
12,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_81.png
13,care.vice,right,&&&&&&&,victims,images/symbols/symbol_49.png
14,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_60.png
15,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_12.png
16,care.vice,right,&&&&&&&,suicide,images/symbols/symbol_39.png
17,authority.vice,right,&&&&&&,police,images/symbols/symbol_79.png
18,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_16.png
19,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_42.png
20,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_63.png
21,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_75.png
22,fairness.virtue,left,&&&&&&&&&,interests,images/symbols/symbol_4.png
23,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_37.png
24,care.virtue,left,&&&&&,peace,images/symbols/symbol_21.png
25,loyalty.virtue,left,&&&&&,great,images/symbols/symbol_26.png
26,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_34.png
27,loyalty.vice,right,&&&&,army,images/symbols/symbol_40.png
28,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_17.png
29,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_31.png
30,fairness.vice,right,&&&&&,crime,images/symbols/symbol_52.png
31,nonword,,&&&&&&&,psypped,images/symbols/symbol_53.png
32,care.vice,right,&&&&,shot,images/symbols/symbol_36.png
33,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_19.png
34,control,right,&&&&&&&,pleasant,images/symbols/symbol_14.png
35,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_62.png
36,care.virtue,left,&&&&&&&&&&,compassion,images/symbols/symbol_7.png
37,fairness.virtue,left,&&&&&&,credit,images/symbols/symbol_65.png
38,nonword,,&&&&&&,ailled,images/symbols/symbol_10.png
39,nonword,,&&&&&,yakks,images/symbols/symbol_61.png
40,nonword,,&&&&&,doars,images/symbols/symbol_54.png
41,loyalty.virtue,left,&&&&,love,images/symbols/symbol_46.png
42,care.vice,right,&&&&&&&,torture,images/symbols/symbol_66.png
43,nonword,,&&&&&&&,bluphte,images/symbols/symbol_68.png
44,care.vice,right,&&&&,died,images/symbols/symbol_28.png
45,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_50.png
46,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_22.png
47,nonword,,&&&&&,sharz,images/symbols/symbol_25.png
48,care.virtue,left,&&&&&&,health,images/symbols/symbol_70.png
49,loyalty.vice,right,&&&&&&&,critics,images/symbols/symbol_33.png
50,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_18.png
51,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_30.png
52,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_82.png
53,care.virtue,left,&&&&,care,images/symbols/symbol_2.png
54,loyalty.vice,right,&&&,ban,images/symbols/symbol_3.png
55,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_24.png
56,authority.vice,right,&&&&,riot,images/symbols/symbol_80.png
57,authority.vice,right,&&&&&&&&&&,protesters,images/symbols/symbol_1.png
58,authority.virtue,left,&&&&&&&&&,encourage,images/symbols/symbol_41.png
59,loyalty.virtue,left,&&&&&&&,praised,images/symbols/symbol_69.png
60,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_38.png
61,nonword,,&&&&&&,sneaze,images/symbols/symbol_48.png
62,care.vice,right,&&&&&&,victim,images/symbols/symbol_64.png
63,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_29.png
64,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_5.png
65,care.vice,right,&&&&&&&,injured,images/symbols/symbol_35.png
66,nonword,,&&&&&&,graidd,images/symbols/symbol_59.png
67,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_6.png
68,nonword,,&&&&&&&,phegned,images/symbols/symbol_13.png
69,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_11.png
70,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_23.png
71,fairness.vice,right,&&&&&&,prison,images/symbols/symbol_55.png
72,fairness.vice,right,&&&&&,voter,images/symbols/symbol_8.png
73,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_57.png
74,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_56.png
75,sanctity.vice,right,&&&&&&&,scandal,images/symbols/symbol_15.png
76,nonword,,&&&&&&&,peighld,images/symbols/symbol_71.png
77,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_32.png
78,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_58.png
79,care.virtue,left,&&&&,good,images/symbols/symbol_67.png
