,category,corr_ans,words,mask,nonwords
150,fairness.vice,right,prison,&&&,oam
151,nonword,,gusinesslike,&&&&&&,sgrawl
152,fairness.vice,right,lies,&&&&&&&&&,ittutable
153,fairness.virtue,left,free,&&&&&&,letish
154,loyalty.vice,right,groups,&&&&&&&,pharing
155,sanctity.virtue,left,freedom,&&&&&&&&&,chressing
156,loyalty.virtue,left,strong,&&&&&&&&&&&,egpeditious
157,nonword,,saned,&&&&&&&&&,grovelire
158,loyalty.vice,right,troops,&&&&&&&&&&,neutralust
159,loyalty.virtue,left,great,&&&&&&,gazily
160,sanctity.vice,right,scandal,&&&&&&&,halaise
161,loyalty.vice,right,army,&&&&&&&&,slending
162,nonword,,pullness,&&&&&&&&&&,focomotive
163,fairness.virtue,left,credit,&&&&&&&&&,baladroit
164,sanctity.virtue,left,freedom,&&&&&&&&&&,ammessment
165,sanctity.virtue,left,hand,&&&&&&&&&&&&&,synchronazers
166,loyalty.vice,right,terrorist,&&&&&&&&,drumbled
167,care.virtue,left,improve,&&&&&&&&,thabbily
168,care.virtue,left,help,&&&&,yane
169,sanctity.vice,right,conspiracy,&&&&&&&&,divility
170,care.virtue,left,good,&&&&&&&&&&,ejanulated
171,fairness.vice,right,illegal,&&&&&&,gazily
172,authority.vice,right,officers,&&&&&,tabin
173,nonword,,asn,&&&&&&&&,emassion
174,sanctity.vice,right,corruption,&&&&&&&&&,baladroit
175,authority.vice,right,rejected,&&&&&,lenon
176,care.virtue,left,peace,&&&&&&&,Loorish
177,sanctity.vice,right,war,&&&&,tove
178,fairness.vice,right,prison,&&&&&,scock
179,authority.virtue,left,ability,&&&&&&&&,tracious
180,authority.vice,right,rebels,&&&&&&&&&&&&,feleological
181,loyalty.virtue,left,strong,&&&&,ning
182,sanctity.vice,right,sexual,&&&&&&,Cunday
183,authority.virtue,left,powerful,&&&&&&&&&,pescinded
184,care.vice,right,torture,&&&&&&&&&&,Oregoniuns
185,loyalty.vice,right,men,&&&&&&&&&&&,cromiscuity
186,fairness.virtue,left,free,&&&&&&,erdest
187,sanctity.virtue,left,strength,&&&&&&,gikely
188,authority.virtue,left,honored,&&&&&&&&&&&,egpeditious
189,care.vice,right,killed,&&&&&&,laming
190,nonword,,elduringly,&&&&&&&&&&,neutralust
191,care.virtue,left,growth,&&&&&&&&&,Lacedonia
192,nonword,,erks,&&&&&&&&,fontacts
193,nonword,,saned,&&&&&&&,smapper
194,sanctity.virtue,left,perfect,&&&&&&&&&&&,vicissifude
195,loyalty.vice,right,betrayal,&&&&&&&,gedious
