words,masks,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,resp_AMP_3.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.3297479820030276,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
,,,,,,,,,,,,,,,,,,,,,,1.7205099700004212,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
,,,,,,,,,,,,,,,,,,,,,,2.0166333480010508,,right,0.9990788309951313,,,,,,,,,,,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
,,,,,,,,,,,,,,,,,,,,,,3.3494386929960456,,,,,None,6,None,,,,,,,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,0,0,0,2,,,,,,,,5.700410412995552,,,,,,,,left,0.8351281180002843,AMP_prac,left,0.8351281180002843,5,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,0,1,1,3,,,,,,,,6.58376403299917,,,,,,,,right,0.6853966350026894,AMP_prac,right,0.6853966350026894,5,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,0,2,2,0,,,,,,,,7.532943432001048,,,,,,,,left,0.7522482790009235,AMP_prac,left,0.7522482790009235,5,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,0,3,3,1,,,,,,,,8.465258012998675,,,,,,,,right,0.7514804390011705,AMP_prac,right,0.7514804390011705,5,,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
powerful,&&&&&&&&,images/symbols/symbol_9.png,authority.virtue,left,,,,,,,,,,,0,0,0,0,,,,31.499458805999893,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,1.0181903920019977,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
killed,&&&&&&,images/symbols/symbol_72.png,care.vice,right,,,,,,,,,,,0,1,1,1,,,,32.46646032499848,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,0.7690999339974951,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
violations,&&&&&&&&&&,images/symbols/symbol_75.png,sanctity.vice,right,,,,,,,,,,,0,2,2,2,,,,33.534311856994464,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.886656464994303,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
improve,&&&&&&&,images/symbols/symbol_19.png,care.virtue,left,,,,,,,,,,,0,3,3,3,,,,34.50003256099444,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,0.7851486950021354,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
black,&&&&&,images/symbols/symbol_37.png,loyalty.vice,right,,,,,,,,,,,0,4,4,4,,,,35.4505072030006,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.7700113819955732,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
party,&&&&&,images/symbols/symbol_29.png,loyalty.virtue,left,,,,,,,,,,,0,5,5,5,,,,36.449436066999624,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,0.8181880789998104,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
civilians,&&&&&&&&&,images/symbols/symbol_43.png,care.vice,right,,,,,,,,,,,0,6,6,6,,,,37.284275606994925,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.6539826340012951,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
death,&&&&&,images/symbols/symbol_73.png,care.vice,right,,,,,,,,,,,0,7,7,7,,,,38.24968942399573,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,0.7804254580041743,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
restore,&&&&&&&,images/symbols/symbol_82.png,care.virtue,left,,,,,,,,,,,0,8,8,8,,,,39.40105150499585,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.9706628839994664,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
ensure,&&&&&&,images/symbols/symbol_52.png,fairness.virtue,left,,,,,,,,,,,0,9,9,9,,,,40.34946131299512,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,0.7691227910036105,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
sexual,&&&&&&,images/symbols/symbol_64.png,sanctity.vice,right,,,,,,,,,,,0,10,10,10,,,,41.26769913300086,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.7361977100008517,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
threatened,&&&&&&&&&&,images/symbols/symbol_38.png,fairness.vice,right,,,,,,,,,,,0,11,11,11,,,,42.76602050999645,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,1.3180030090006767,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
promote,&&&&&&&,images/symbols/symbol_80.png,sanctity.virtue,left,,,,,,,,,,,0,12,12,12,,,,43.750054887997976,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.8027300499961711,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
racist,&&&&&&,images/symbols/symbol_71.png,sanctity.vice,right,,,,,,,,,,,0,13,13,13,,,,44.66648351500044,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,0.7349532230000477,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
peaceful,&&&&&&&&,images/symbols/symbol_8.png,authority.virtue,left,,,,,,,,,,,0,14,14,14,,,,45.59881573199527,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.7508274670035462,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
arrests,&&&&&&&,images/symbols/symbol_44.png,authority.vice,right,,,,,,,,,,,0,15,15,15,,,,46.68328139499499,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,left,0.8861166560018319,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
abuse,&&&&&,images/symbols/symbol_4.png,sanctity.vice,right,,,,,,,,,,,0,16,16,16,,,,47.6821646669996,,,,,,,,,,AMP_prac,right,0.7514804390011705,5,,right,0.8141472009956487,999,2019_Apr_10_1035,mf_amp_cond1,3.0.7,60.19568618467282,
