words,masks,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.8170172379977885,,,,,,,,,,,,,,,,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
,,,,,,,,,,,,,,,,,,,,,,2.41339435899863,None,,,,,,,,,,,,,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
,,,,,,,,,,,,,,,,,,,,,,2.692720892999205,,right,0.7643065079973894,,,,,,,,,,,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
,,,,,,,,,,,,,,,,,,,,,,3.7758772439992754,,,,,None,45,None,,,,,,,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,0,0,0,3,,,,,,,,,,7.893358472996624,,,,,,,,left,0.751335515997198,AMP_prac,left,0.751335515997198,1,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
car,&&&,images/symbols/symbol_9.png,,,,,,,0,1,1,0,,,,,,,,,,8.809887068993703,,,,,,,,right,0.7353339020046405,AMP_prac,right,0.7353339020046405,1,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,0,2,2,2,,,,,,,,,,9.7770065529985,,,,,,,,left,0.7886238930004765,AMP_prac,left,0.7886238930004765,1,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,0,3,3,1,,,,,,,,,,10.676311601993802,,,,,,,,right,0.7182496380046359,AMP_prac,right,0.7182496380046359,1,,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1034,mf_amp_cond1,3.0.7,59.817085930855896,
,,,,,,,,,,,,,,,,,,,,,,20.75898512299318,,,,,,,,,,,,,,,,,,,,
