words,masks,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,resp_AMP_3.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,0.4154705590044614,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
,,,,,,,,,,,,,,,,,,,,,,0.7195136430018465,None,,,,,,,,,,,,,,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
,,,,,,,,,,,,,,,,,,,,,,1.2639315970009193,,left,1.062970310995297,,,,,,,,,,,,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
,,,,,,,,,,,,,,,,,,,,,,2.830162295002083,,,,,None,0.9220031650038436,38,None,,,,,,,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,0,0,0,2,,,,,,,,9.162905396995484,,,,,,,,,left,0.8793245329943602,AMP_prac,left,0.8793245329943602,10,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,0,1,1,0,,,,,,,,10.363404283001728,,,,,,,,,right,0.9666495730052702,AMP_prac,right,0.9666495730052702,10,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,0,2,2,3,,,,,,,,12.013865681001334,,,,,,,,,left,1.4124413509998703,AMP_prac,left,1.4124413509998703,10,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,0,3,3,1,,,,,,,,13.56446400799905,,,,,,,,,right,1.2835199229957652,AMP_prac,right,1.2835199229957652,10,,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_10_1054,mf_amp_cond1,3.0.7,58.51408421675334,
