either,,,,neutral,left,&&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,0,0,57,,,,,,,,14.304740346000472,,,,,,,,,LDT_prac,None,[],,,,,,,,,,,,,,0,,None,,,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15.537,,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
want,,,,loyalty.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,12,,,,,,,,,,,,,mem,left,1.2516971990044112,,,,,,,,,,,,,,1,,,,,,left,1,1.2516971990044112,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
trust,,,,authority.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,90,,,,,,,,,,,,,mem,right,0.949611512995034,,,,,,,,,,,,,,1,,,,,,right,1,0.949611512995034,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
phlaizz,,,,nonword,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,89,,,,,,,,,,,,,mem,right,0.5190901949972613,,,,,,,,,,,,,,0,,,,,,right,0,0.5190901949972613,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
approval,,,,fairness.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,88,,,,,,,,,,,,,mem,left,0.9525556740045431,,,,,,,,,,,,,,1,,,,,,left,1,0.9525556740045431,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
unpleasant,,,,control,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,79,,,,,,,,,,,,,mem,left,0.7689321230063797,,,,,,,,,,,,,,0,,,,,,left,0,0.7689321230063797,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
restore,,,,care.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,46,,,,,,,,,,,,,mem,right,0.5522317349968944,,,,,,,,,,,,,,1,,,,,,right,1,0.5522317349968944,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
pleasant,,,,control,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,98,,,,,,,,,,,,,mem,right,0.8695924390049186,,,,,,,,,,,,,,1,,,,,,right,1,0.8695924390049186,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
immigrants,,,,fairness.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,97,,,,,,,,,,,,,mem,left,0.6347629569936544,,,,,,,,,,,,,,1,,,,,,left,1,0.6347629569936544,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
heroin,,,,sanctity.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,9,,,,,,,,,,,,,mem,left,0.5024402679991908,,,,,,,,,,,,,,1,,,,,,left,1,0.5024402679991908,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
peizz,,,,nonword,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,mem,right,0.45054556299874093,,,,,,,,,,,,,,1,,,,,,right,1,0.45054556299874093,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
scylde,,,,nonword,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,68,,,,,,,,,,,,,mem,right,0.3857062520037289,,,,,,,,,,,,,,0,,,,,,right,0,0.3857062520037289,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
bureaus,,,,fairness.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,21,,,,,,,,,,,,,mem,left,0.5187794769954053,,,,,,,,,,,,,,1,,,,,,left,1,0.5187794769954053,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
honored,,,,authority.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,30,,,,,,,,,,,,,mem,left,0.4021256740015815,,,,,,,,,,,,,,0,,,,,,left,0,0.4021256740015815,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
protesters,,,,authority.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,10,,,,,,,,,,,,,mem,left,0.08582408399524866,,,,,,,,,,,,,,0,,,,,,left,0,0.08582408399524866,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
assault,,,,care.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,52,,,,,,,,,,,,,mem,left,0.08570031999988714,,,,,,,,,,,,,,1,,,,,,left,1,0.08570031999988714,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
sypht,,,,nonword,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,34,,,,,,,,,,,,,mem,right,0.3669933669953025,,,,,,,,,,,,,,0,,,,,,right,0,0.3669933669953025,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
suspects,,,,care.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,0,,,,,,,,,,,,,mem,right,0.07009008399472805,,,,,,,,,,,,,,0,,,,,,right,0,0.07009008399472805,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
weild,,,,nonword,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,82,,,,,,,,,,,,,mem,right,0.0695373619964812,,,,,,,,,,,,,,0,,,,,,right,0,0.0695373619964812,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
commitment,,,,sanctity.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,48,,,,,,,,,,,,,mem,right,0.33387345699884463,,,,,,,,,,,,,,1,,,,,,right,1,0.33387345699884463,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
wounded,,,,care.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,57,,,,,,,,,,,,,mem,left,0.3354682839999441,,,,,,,,,,,,,,1,,,,,,left,1,0.3354682839999441,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
combat,,,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,43,,,,,,,,,,,,,mem,right,0.3687783230052446,,,,,,,,,,,,,,0,,,,,,right,0,0.3687783230052446,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
crisis,,,,fairness.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,33,,,,,,,,,,,,,mem,right,0.13496600299549755,,,,,,,,,,,,,,0,,,,,,right,0,0.13496600299549755,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
safety,,,,care.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,22,60,,,,,,,,,,,,,mem,right,0.07001502100320067,,,,,,,,,,,,,,1,,,,,,right,1,0.07001502100320067,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
diet,,,,sanctity.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,23,15,,,,,,,,,,,,,mem,left,0.3330561359980493,,,,,,,,,,,,,,1,,,,,,left,1,0.3330561359980493,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
bomb,,,,care.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,71,,,,,,,,,,,,,mem,left,0.0693240379987401,,,,,,,,,,,,,,1,,,,,,left,1,0.0693240379987401,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
racist,,,,sanctity.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,25,7,,,,,,,,,,,,,mem,left,0.08415387500281213,,,,,,,,,,,,,,0,,,,,,left,0,0.08415387500281213,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
enemies,,,,sanctity.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,26,41,,,,,,,,,,,,,mem,left,0.31911005599977216,,,,,,,,,,,,,,1,,,,,,left,1,0.31911005599977216,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
impressed,,,,care.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,27,5,,,,,,,,,,,,,mem,left,0.06931203200656455,,,,,,,,,,,,,,1,,,,,,left,1,0.06931203200656455,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
agents,,,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,28,35,,,,,,,,,,,,,mem,right,0.25238019400421763,,,,,,,,,,,,,,0,,,,,,right,0,0.25238019400421763,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
treat,,,,fairness.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,29,95,,,,,,,,,,,,,mem,right,0.06939483700261917,,,,,,,,,,,,,,0,,,,,,right,0,0.06939483700261917,999,2019_Apr_13_1020,mf_amp_cond1,3.0.7,60.21884104803798,
