words,masks,symbols,conditionfile,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,resp_sym_rate.keys,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,participant ID,date,expName,psychopyVersion,frameRate,
,,,condition_files/AMP_rep4.csv,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.6863457330036908,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
care,&&&&,images/symbols/symbol_40.png,condition_files/AMP_rep3.csv,care.virtue,left,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,,,,,15.569616371998563,,,,,,,,,,AMP_prac,None,[],3,,None,,,,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,condition_files/AMP_rep3.csv,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.8698954319988843,,,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18.276,,,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18.23,,,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18.2,,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
bisebell,,,,,,&&&&&&&,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,20.41841974399722,,,,,,,,,,LDT_prac,left,0.4677478230005363,,,,,,,,,,,,,,left,0.4677478230005363,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
keyboard,,,,,,&&&&&&&,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,22.20286035099707,,,,,,,,,,LDT_prac,right,0.3193882030027453,,,,,,,,,,,,,,right,0.3193882030027453,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
treas,,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,0,0,164,,,,26.71905645699735,,,,,,,,,,LDT_prac,left,1.4693965640035458,,,,,,,,,,,,,,left,1.4693965640035458,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
actively,,,,authority.virtue,left,&&&&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,1,1,31,,,,29.43524598499789,,,,,,,,,,LDT_prac,right,0.8355078960012179,,,,,,,,,,,,,,right,0.8355078960012179,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
plonx,,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,2,2,135,,,,32.23492368799634,,,,,,,,,,LDT_prac,left,0.8348466059978819,,,,,,,,,,,,,,left,0.8348466059978819,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
slypped,,,,nonword,left,&&&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,3,3,172,,,,34.95223849499598,,,,,,,,,,LDT_prac,left,0.8191424260003259,,,,,,,,,,,,,,left,0.8191424260003259,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
drug,,,,sanctity.vice,left,&&&&,,,,,,,,,,,,,,,,,,,,,,,0,4,4,47,,,,38.15229883999564,,,,,,,,,,LDT_prac,right,1.6027925500020501,,,,,,,,,,,,,,right,1.6027925500020501,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
corruption,,,,sanctity.vice,left,&&&&&&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,5,5,49,,,,40.86840752999706,,,,,,,,,,LDT_prac,right,1.118639970998629,,,,,,,,,,,,,,right,1.118639970998629,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
brored,,,,nonword,left,&&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,6,6,177,,,,42.57414419899578,,,,,,,,,,LDT_prac,None,[],,,,,,,,,,,,,,None,,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
besides,,,,neutral,left,&&&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,7,7,76,,,,44.50215677399683,,,,,,,,,,LDT_prac,None,[],,,,,,,,,,,,,,None,,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
were,,,,neutral,left,&&&&,,,,,,,,,,,,,,,,,,,,,,,0,8,8,90,,,,46.32230566499493,,,,,,,,,,LDT_prac,None,[],,,,,,,,,,,,,,None,,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
there,,,,neutral,left,&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,9,9,91,,,,48.26021204299468,,,,,,,,,,LDT_prac,None,[],,,,,,,,,,,,,,None,,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
daizz,,,,nonword,left,&&&&&,,,,,,,,,,,,,,,,,,,,,,,0,10,10,196,,,,49.63884056099778,,,,,,,,,,LDT_prac,None,[],,,,,,,,,,,,,,None,,0,,999,2019_Apr_13_1009,mf_amp_cond1,3.0.7,59.99016089357301,
