words,mask,category,corr_ans,masks,symbols,conditionfile,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,task,keypress,RT,corr,resp_LDT_ready.keys,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,resp_sym_rate.keys,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,condition_files/AMP_rep4.csv,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.135214731002634,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
respect,,sanctity.virtue,left,&&&&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,25.928613980999216,,,,AMP_prac,None,[],,,,,,,,,,,,,,,6,,None,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,condition_files/AMP_rep2.csv,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5356034720025491,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
respect,,sanctity.virtue,left,&&&&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,27.278176428000734,,,,AMP_prac,None,[],,,,,,,,,,,,,,,6,,None,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,condition_files/AMP_rep1.csv,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5695379099997808,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
respect,,sanctity.virtue,left,&&&&&&&,images/symbols/symbol_6.png,condition_files/AMP_rep3.csv,,,,,,,,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,28.595527532001142,,,,AMP_prac,None,[],,,,,,,,,,,,,,,6,,None,,,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,condition_files/AMP_rep3.csv,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.5677504760024021,,,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30.243,,,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30.214,,,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30.185,,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
benefit,,fairness.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,46,,,,,,,,mem,left,0.7516406359936809,0,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.7516406359936809,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
approval,,fairness.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,64,,,,,,,,mem,right,0.10148054900491843,0,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.10148054900491843,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
city,,loyalty.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,36,,,,,,,,mem,right,0.019576190003135707,0,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.019576190003135707,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
passionate,,loyalty.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,19,,,,,,,,mem,right,0.019277876999694854,0,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,0.019277876999694854,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
phlaizz,,nonword,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,67,,,,,,,,mem,right,0.0027355610000086017,1,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.0027355610000086017,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
authorities,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,94,,,,,,,,mem,left,0.052620475995354354,1,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.052620475995354354,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
racist,,sanctity.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,20,,,,,,,,mem,left,0.03442696499405429,0,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.03442696499405429,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
wounded,,care.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,92,,,,,,,,mem,left,0.0023071449977578595,1,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.0023071449977578595,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
cabinets,,authority.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,87,,,,,,,,mem,left,0.03553976499824785,1,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.03553976499824785,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
impressed,,care.virtue,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,14,,,,,,,,mem,left,0.0027117739955428988,1,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.0027117739955428988,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
prison,,fairness.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,mem,right,0.05250280399923213,1,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.05250280399923213,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
penalty,,authority.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,27,,,,,,,,mem,right,0.13678239200089592,1,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.13678239200089592,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
abuse,,sanctity.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,43,,,,,,,,mem,right,0.019157121998432558,1,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.019157121998432558,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
threatened,,fairness.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,12,,,,,,,,mem,right,0.002431733999401331,1,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.002431733999401331,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
agents,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,17,,,,,,,,mem,left,0.0023766380036249757,1,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.0023766380036249757,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
praise,,authority.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,63,,,,,,,,mem,left,0.051465160002408084,0,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.051465160002408084,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
agreement,,fairness.virtue,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,73,,,,,,,,mem,left,0.03530335799587192,0,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.03530335799587192,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
suicide,,care.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,38,,,,,,,,mem,left,0.019981992001703475,0,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.019981992001703475,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
sypht,,nonword,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,82,,,,,,,,mem,left,0.019391415000427514,1,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.019391415000427514,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
sexual,,sanctity.vice,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,7,,,,,,,,mem,None,[],0,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,999,2019_Apr_13_1031,mf_amp_cond2,3.0.7,59.810158847386305,
