begin_key.keys,begin_key.rt,key_resp_instr.keys,exp_time,resp_sym_rate.keys,participant,condition,date,expName,psychopyVersion,frameRate,
right,3.3134901909943437,,,,,,2019_Apr_13_1004,mf_amp_cond1,3.0.7,60.13448922163551,
,,None,,,,,2019_Apr_13_1004,mf_amp_cond1,3.0.7,60.13448922163551,
,,,5.732693374004157,None,,,2019_Apr_13_1004,mf_amp_cond1,3.0.7,60.13448922163551,
,,,10.565143952000653,,,,,,,,
