words,masks,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,resp_AMP_3.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.6826393419978558,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
,,,,,,,,,,,,,,,,,,,,,,2.0510223020028207,None,,,,,,,,,,,,,,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
,,,,,,,,,,,,,,,,,,,,,,2.381377566001902,,left,1.3784538680047262,,,,,,,,,,,,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
,,,,,,,,,,,,,,,,,,,,,,8.765659151002183,,,,,None,1.2110281639979803,15,None,,,,,,,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,0,0,0,3,,,,,,,,20.68031450000126,,,,,,,,,left,1.3167670100010582,AMP_prac,left,1.3167670100010582,1,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,0,1,1,2,,,,,,,,22.08108879100473,,,,,,,,,right,1.2334042670045164,AMP_prac,right,1.2334042670045164,1,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,0,2,2,1,,,,,,,,23.412505783002416,,,,,,,,,left,1.1654972279939102,AMP_prac,left,1.1654972279939102,1,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,0,3,3,0,,,,,,,,24.830374966004456,,,,,,,,,right,1.2494677869981388,AMP_prac,right,1.2494677869981388,1,,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
encourage,&&&&&&&&&,images/symbols/symbol_41.png,authority.virtue,left,,,,,,,,,,,0,0,0,0,,,,32.13081608000357,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,left,1.1324796070039156,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
trust,&&&&&,images/symbols/symbol_52.png,authority.virtue,left,,,,,,,,,,,0,1,1,1,,,,33.66323084900068,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,right,1.3624819250035216,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
suicide,&&&&&&&,images/symbols/symbol_4.png,care.vice,right,,,,,,,,,,,0,2,2,2,,,,35.164087380006094,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,left,1.3337224400020204,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
killed,&&&&&&,images/symbols/symbol_30.png,care.vice,right,,,,,,,,,,,0,3,3,3,,,,36.61326416900556,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,right,1.2837724070050172,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
care,&&&&,images/symbols/symbol_43.png,care.virtue,left,,,,,,,,,,,0,4,4,4,,,,38.045868512002926,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,left,1.2664857849958935,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
fraud,&&&&&,images/symbols/symbol_1.png,fairness.vice,right,,,,,,,,,,,0,5,5,5,,,,39.84510219200456,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,left,1.6319535770016955,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
civilians,&&&&&&&&&,images/symbols/symbol_44.png,care.vice,right,,,,,,,,,,,0,6,6,6,,,,41.51322210500075,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,right,1.5000783260038588,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
wraize,&&&&&&,images/symbols/symbol_5.png,nonword,None,,,,,,,,,,,0,7,7,7,,,,43.245398822000425,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,left,1.5626458890037611,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
racist,&&&&&&,images/symbols/symbol_39.png,sanctity.vice,right,,,,,,,,,,,0,8,8,8,,,,44.614542518000235,,,,,,,,,,,AMP_prac,right,1.2494677869981388,1,,right,1.2318983570003184,999,2019_Apr_10_1050,mf_amp_cond1,3.0.7,59.81098270081878,
