words,masks,symbols,category,corr_ans,mask,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_trials.keys,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,resp_LDT_prac.keys,resp_LDT_prac.rt,corr,resp_LDT_ready.keys,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant,date,expName,psychopyVersion,frameRate,
rejected,,,authority.vice,right,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.9182572439967771,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
rejected,,,authority.vice,right,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,34,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
combat,,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.8520082760005607,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
combat,,,authority.vice,left,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,7,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
unpleasant,,,control,right,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0.7793556410033489,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
unpleasant,,,control,right,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,61,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
poor,,,fairness.vice,left,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0,1.1215878000002704,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
poor,,,fairness.vice,left,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,83,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
death,,,care.vice,right,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.9506565240008058,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
death,,,care.vice,right,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,23,,,,,,,,,,,,,,,LDT,None,[],,,,,,,,,,,,,0,,,,,,,,,,,,999,2019_Apr_10_1516,mf_amp_cond1,3.0.7,58.93308705923483,
