words,masks,symbols,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,category,corr_ans,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.3989326959999744,,,,,,,,,,,,,,,,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
,,,,,,,,,,,,,,,,,,,,,,2.438080195999646,None,,,,,,,,,,,,,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
,,,,,,,,,,,,,,,,,,,,,,3.88495686200622,,left,1.1781497100018896,,,,,,,,,,,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
,,,,,,,,,,,,,,,,,,,,,,5.935726359006367,,,,,None,32,None,,,,,,,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
car,&&&,images/symbols/symbol_9.png,,,,,,,0,0,0,0,,,,,,,,,,9.565232074004598,,,,,,,,left,0.8097027529947809,AMP_prac,left,0.8097027529947809,5,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,0,1,1,3,,,,,,,,,,10.851175786003296,,,,,,,,right,1.0441988059974392,AMP_prac,right,1.0441988059974392,5,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,0,2,2,1,,,,,,,,,,12.234422534005716,,,,,,,,left,1.1166822519953712,AMP_prac,left,1.1166822519953712,5,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,0,3,3,2,,,,,,,,,,13.799963689001743,,,,,,,,right,1.2978504659986356,AMP_prac,right,1.2978504659986356,5,,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1052,mf_amp_cond1,3.0.7,59.19947533186794,
,,,,,,,,,,,,,,,,,,,,,,22.536499649999314,,,,,,,,,,,,,,,,,,,,
