begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,participant,date,expName,psychopyVersion,frameRate,
right,1.753809743997408,,,,999,2019_Apr_01_2052,mf_amp_cond1,3.0.3,60.289298438842515,
,,None,,,999,2019_Apr_01_2052,mf_amp_cond1,3.0.3,60.289298438842515,
,,,10.104715526998916,None,999,2019_Apr_01_2052,mf_amp_cond1,3.0.3,60.289298438842515,
,,,59.800882279996586,,,,,,,
