symbol,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,resp_logo_ready_2.rt,keypress_logo_prac_2.keys,keypress_logo_prac_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,right,2.6229061350022675,,,,,,,,,,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
,,,,,,,None,,,,,,,,,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
,,,,,,,,2.65417479199823,None,,,,,,,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
,,,,,,,,3.615810584000428,,left,2.0828781459858874,,,,,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
,,,,,,,,,,,,right,1.2396503510099137,,,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_67.png,0,0,0,23,,,,23.550233130008564,,,,,,left,1.3168432340025902,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_72.png,0,1,1,25,,,,,,,,,,left,0.9839138460083632,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_12.png,0,2,2,34,,,,,,,,,,right,0.8992012380040251,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_31.png,0,3,3,51,,,,,,,,,,left,0.7190564759948757,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_79.png,0,4,4,74,,,,,,,,,,right,0.7336002010124503,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_16.png,0,5,5,31,,,,,,,,,,left,0.6832342429988785,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_41.png,0,6,6,69,,,,,,,,,,right,0.7010536379966652,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_64.png,0,7,7,14,,,,,,,,,,left,0.6634620700060623,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_29.png,0,8,8,27,,,,,,,,,,right,0.6862503669981379,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_36.png,0,9,9,45,,,,,,,,,,left,2.5169475979928393,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
images/symbols/symbol_73.png,0,10,10,22,,,,,,,,,,right,1.7149505270062946,999,2019_Apr_02_1745,mf_amp_cond1,3.0.3,59.97299799407025,
