words,masks,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,keypress_logo_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_3.keys,resp_AMP_3.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,right,1.150337180995848,,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
,,,,,,,,,,,,,,,,,,,,,,1.5686507979989983,None,,,,,,,,,,,,,,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
,,,,,,,,,,,,,,,,,,,,,,2.845702122998773,,right,0.6674775420033257,,,,,,,,,,,,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
,,,,,,,,,,,,,,,,,,,,,,4.49875926200184,,,,,None,0.9820832929981407,38,None,,,,,,,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,0,0,0,0,,,,,,,,8.611434851001832,,,,,,,,,right,0.6532741869959864,AMP_prac,right,0.6532741869959864,10,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,0,1,1,1,,,,,,,,9.428876170997682,,,,,,,,,left,0.6350408450016403,AMP_prac,left,0.6350408450016403,10,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,0,2,2,2,,,,,,,,10.245306744000118,,,,,,,,,right,0.6352274270029739,AMP_prac,right,0.6352274270029739,10,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,0,3,3,3,,,,,,,,11.045046492996335,,,,,,,,,left,0.6207181740028318,AMP_prac,left,0.6207181740028318,10,,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
strength,&&&&&&&&,images/symbols/symbol_39.png,sanctity.virtue,left,,,,,,,,,,,0,0,0,0,,,,27.395120601002418,,,,,,,,,,,AMP_prac,left,0.6207181740028318,10,,right,0.6845942660002038,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
hope,&&&&,images/symbols/symbol_21.png,loyalty.virtue,left,,,,,,,,,,,0,1,1,1,,,,28.19852194499981,,,,,,,,,,,AMP_prac,left,0.6207181740028318,10,,left,0.6016243869962636,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
freedom,&&&&&&&,images/symbols/symbol_28.png,sanctity.virtue,left,,,,,,,,,,,0,2,2,2,,,,28.963529064996692,,,,,,,,,,,AMP_prac,left,0.6207181740028318,10,,right,0.5664570899971295,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
care,&&&&,images/symbols/symbol_17.png,care.virtue,left,,,,,,,,,,,0,3,3,3,,,,29.730353537001065,,,,,,,,,,,AMP_prac,left,0.6207181740028318,10,,left,0.5651905269987765,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
encourage,&&&&&&&&&,images/symbols/symbol_40.png,authority.virtue,left,,,,,,,,,,,0,4,4,4,,,,30.462909702000616,,,,,,,,,,,AMP_prac,left,0.6207181740028318,10,,right,0.5328984240040882,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
illegal,&&&&&&&,images/symbols/symbol_1.png,fairness.vice,right,,,,,,,,,,,0,5,5,5,,,,31.163581813001656,,,,,,,,,,,AMP_prac,left,0.6207181740028318,10,,left,0.500304827997752,999,2019_Apr_10_1037,mf_amp_cond1,3.0.7,59.93216374121121,
