words,symbols,category,corr_ans,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,index,symbol,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,exp_time,resp_logo_rate.keys,keypress_logo_prac.keys,keypress_logo_prac.rt,resp_logo_ready_2.keys,keypress_logo_trial.keys,symbol_index,resp_AMP_ready1.keys,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,right,0.3665163219993701,,,,,,,,,,,,,,,,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
,,,,,,,,,,,,,,,,,,,,,1.0319448540030862,None,,,,,,,,,,,,,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
,,,,,,,,,,,,,,,,,,,,,2.0926729760030867,,right,0.6818618559991592,,,,,,,,,,,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
,,,,,,,,,,,,,,,,,,,,,3.4942631860030815,,,,,None,48,None,,,,,,,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
banana,images/symbols/symbol_68.png,,,,,,,,,0,0,0,1,,,,,,,,7.827307011997618,,,,,,,,left,0.8522322280041408,AMP_prac,left,0.8522322280041408,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
keyboard,images/symbols/symbol_40.png,,,,,,,,,0,1,1,2,,,,,,,,8.860625834997336,,,,,,,,right,0.8855585060009616,AMP_prac,right,0.8855585060009616,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
scarf,images/symbols/symbol_54.png,,,,,,,,,0,2,2,3,,,,,,,,9.726238180002838,,,,,,,,left,0.7147946190016228,AMP_prac,left,0.7147946190016228,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
car,images/symbols/symbol_9.png,,,,,,,,,0,3,3,0,,,,,,,,10.54322276700259,,,,,,,,right,0.6653159259949462,AMP_prac,right,0.6653159259949462,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
violence,images/symbols/symbol_53.png,care.vice,right,,,,,,,,,,,0,0,0,0,,,,29.17875949000154,,,,,,,,right,0.7189873940005782,AMP_prac,right,0.7189873940005782,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
troops,images/symbols/symbol_80.png,loyalty.vice,right,,,,,,,,,,,0,1,1,1,,,,30.028065974998754,,,,,,,,left,0.7028050439985236,AMP_prac,left,0.7028050439985236,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
credit,images/symbols/symbol_51.png,fairness.virtue,left,,,,,,,,,,,0,2,2,2,,,,30.86087548600335,,,,,,,,right,0.6862525150063448,AMP_prac,right,0.6862525150063448,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
win,images/symbols/symbol_15.png,fairness.virtue,left,,,,,,,,,,,0,3,3,3,,,,31.62765855700127,,,,,,,,left,0.6189877949946094,AMP_prac,left,0.6189877949946094,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
terrorists,images/symbols/symbol_1.png,fairness.vice,right,,,,,,,,,,,0,4,4,4,,,,32.39471190999757,,,,,,,,right,0.6162023189972388,AMP_prac,right,0.6162023189972388,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
threatened,images/symbols/symbol_55.png,fairness.vice,right,,,,,,,,,,,0,5,5,5,,,,33.29341392099741,,,,,,,,left,0.7511633149988484,AMP_prac,left,0.7511633149988484,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
abuse,images/symbols/symbol_26.png,sanctity.vice,right,,,,,,,,,,,0,6,6,6,,,,34.10995677400206,,,,,,,,right,0.6677866259997245,AMP_prac,right,0.6677866259997245,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
fraud,images/symbols/symbol_67.png,fairness.vice,right,,,,,,,,,,,0,7,7,7,,,,34.928519214001426,,,,,,,,left,0.6701404780033045,AMP_prac,left,0.6701404780033045,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
forced,images/symbols/symbol_27.png,fairness.vice,right,,,,,,,,,,,0,8,8,8,,,,35.694603818999894,,,,,,,,right,0.6199013440054841,AMP_prac,right,0.6199013440054841,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
prison,images/symbols/symbol_7.png,fairness.vice,right,,,,,,,,,,,0,9,9,9,,,,36.428621054998075,,,,,,,,left,0.5828545809999923,AMP_prac,left,0.5828545809999923,1,,999,2019_Apr_10_1018,mf_amp_cond1,3.0.7,59.678293178710554,
