words,mask,masks,symbols,conditionfile,corr_ans,category,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,LDT_pracs_1.thisRepN,LDT_pracs_1.thisTrialN,LDT_pracs_1.thisN,LDT_pracs_1.thisIndex,LDT_trials_1.thisRepN,LDT_trials_1.thisTrialN,LDT_trials_1.thisN,LDT_trials_1.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,task,keypress,RT,corr,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,participant ID,date,expName,psychopyVersion,frameRate,
win,,,,,right,fairness.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74,74,32,,,,,,,,,,,,,,mem,left,0.5170010821129836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.5170010821129836,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
enemies,,,,,left,sanctity.vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,75,75,56,,,,,,,,,,,,,,mem,left,0.583694304452365,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.583694304452365,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
proud,,,,,left,loyalty.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,76,43,,,,,,,,,,,,,,mem,left,0.400311997073004,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.400311997073004,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
corruption,,,,,right,sanctity.vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,77,77,33,,,,,,,,,,,,,,mem,left,0.3503042677002668,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.3503042677002668,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
assault,,,,,left,care.vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,78,38,,,,,,,,,,,,,,mem,left,0.38375286804148345,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.38375286804148345,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
wealth,,,,,left,sanctity.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,79,79,49,,,,,,,,,,,,,,mem,left,0.416862466638122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.416862466638122,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
safe,,,,,right,care.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,80,11,,,,,,,,,,,,,,mem,left,0.3503065127442824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.3503065127442824,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
kind,,,,,left,sanctity.virtue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,81,81,78,,,,,,,,,,,,,,mem,left,0.33363352788364864,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.33363352788364864,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
arrests,,,,,right,authority.vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,82,82,25,,,,,,,,,,,,,,mem,left,0.36698366697964957,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0,0.36698366697964957,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
city,,,,,left,loyalty.vice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83,83,16,,,,,,,,,,,,,,mem,left,0.38364638878192636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0.38364638878192636,1001,2019_Apr_29_1653,mf_amp_cond1,3.0.7,59.98637887861687,
