words,masks,symbols,conditionfile,corr_ans,category,mask,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,corr,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,450.6879463514779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,6.018516196287237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.75003840692807,right,3.5345283184433356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.3177029293729,,,left,4.084651012439281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.017431177664548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.4569304076722,,,,,,,left,1.1005641904193908,56,right,1.5006759316893294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.9556553584989,,,,,,,,,,,,right,2.700810380280018,AMP_prac,right,2.700810380280018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.7241451749578,,,,,,,,,,,,left,6.550493774819188,AMP_prac,left,6.550493774819188,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.0925213259179,,,,,,,,,,,,left,6.135198829811998,AMP_prac,left,6.135198829811998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.1930932137184,,,,,,,,,,,,left,1.867394887492992,AMP_prac,left,1.867394887492992,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,2019_May_29_1700,mf_amp_cond1,3.0.7,59.984205165632716,
