words,masks,symbols,conditionfile,corr_ans,category,mask,LDT_trials_cond2.thisRepN,LDT_trials_cond2.thisTrialN,LDT_trials_cond2.thisN,LDT_trials_cond2.thisIndex,logo_trials.thisRepN,logo_trials.thisTrialN,logo_trials.thisN,logo_trials.thisIndex,AMP_pracs.thisRepN,AMP_pracs.thisTrialN,AMP_pracs.thisN,AMP_pracs.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,memtask_trials.thisRepN,memtask_trials.thisTrialN,memtask_trials.thisN,memtask_trials.thisIndex,LDT_cond1.thisRepN,LDT_cond1.thisTrialN,LDT_cond1.thisN,LDT_cond1.thisIndex,LDT_pracs.thisRepN,LDT_pracs.thisTrialN,LDT_pracs.thisN,LDT_pracs.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,begin_key.keys,begin_key.rt,key_resp_instr.keys,key_resp_instr.rt,exp_time,resp_sym_rate.keys,resp_sym_rate.rt,sym_resp_1.keys,sym_resp_1.rt,sym_resp_2.keys,sym_resp_2.rt,sym_resp_trial.keys,sym_resp_trial.rt,symbol_index,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP.keys,resp_AMP.rt,task,keypress,RT,prime_dur,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP_trials.keys,resp_AMP_trials.rt,rest_key_resp.keys,rest_key_resp.rt,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_instr_memtask.keys,key_resp_instr_memtask.rt,resp_memtask.keys,resp_memtask.corr,resp_memtask.rt,corr,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT_trial.keys,resp_LDT_trial.rt,LDT_rating.response,LDT_rating.rt,participant ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,730.6207383165602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.000765565142501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.6683181748958,right,2.0507591827772558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.7514042844996,,,left,4.851448929053731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.1673867960926145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857.8072655244032,,,,,,,right,0.7816285530570894,4,right,2.050802159588784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
banana,&&&&&&,images/symbols/symbol_68.png,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.922271242889,,,,,,,,,,,,right,2.2675122628570534,AMP_prac,right,2.2675122628570534,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
keyboard,&&&&&&&&,images/symbols/symbol_40.png,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.98907939106,,,,,,,,,,,,left,0.8337905770167708,AMP_prac,left,0.8337905770167708,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
car,&&&,images/symbols/symbol_9.png,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047.67285672226,,,,,,,,,,,,right,1.4658776673604734,AMP_prac,right,1.4658776673604734,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
scarf,&&&&&,images/symbols/symbol_54.png,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.789817887242,,,,,,,,,,,,left,0.883830058039166,AMP_prac,left,0.883830058039166,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,12.95351861702511,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,2019_May_20_1657,mf_amp_cond1,3.0.7,60.048840897409036,
