words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,966.4790364140645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.6505376240238547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.567616577143781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
banana,kacket,&&&&&&,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,right,2.550908313016407,AMP_prac,right,2.550908313016407,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
scarf,bisebell,&&&&&&&&,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,right,1.6506883627735078,AMP_prac,right,1.6506883627735078,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
car,cemtuper,&&&&&&&&,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,right,1.7340770204318687,AMP_prac,right,1.7340770204318687,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
keyboard,senk,&&&&,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,right,1.5673282492207363,AMP_prac,right,1.5673282492207363,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8340559169882908,,,,,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
halaise,nonobservalt,&&&&&&&&&&&&,None,nonword,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,1.0837042467901483,,,left,0,1.0837042467901483,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
win,ablow,&&&&&,left,fairness.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,1.317322957329452,,,left,1,1.317322957329452,1,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
suicide,sidearbs,&&&&&&&&,right,care.vice,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,left,1.3339353259652853,,,left,0,1.3339353259652853,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
drug,greaks,&&&&&&,right,sanctity.vice,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9838587699923664,,,left,0,0.9838587699923664,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
strength,saned,&&&&&,left,sanctity.virtue,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,right,1.2839657624717802,,,right,0,1.2839657624717802,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
lies,fornicalion,&&&&&&&&&&&,right,fairness.vice,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2170794662088156,,,left,0,1.2170794662088156,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
prison,divility,&&&&&&&&,right,fairness.vice,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,left,1.1005244423868135,,,left,0,1.1005244423868135,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
compassion,laming,&&&&&&,left,care.virtue,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,left,1.1672260035993531,,,left,1,1.1672260035993531,1,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
health,lursuer,&&&&&&&,left,care.virtue,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,AMP,right,2.000774861080572,,,right,0,2.000774861080572,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
imebreaker,elduringly,&&&&&&&&&&,None,nonword,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,right,0.8504873992642388,,,right,0,0.8504873992642388,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
quarterbocks,letish,&&&&&&,None,nonword,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,left,2.484251011395827,,,left,0,2.484251011395827,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
scandal,abointment,&&&&&&&&&&,right,sanctity.vice,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,left,1.3506237054243684,,,left,0,1.3506237054243684,0,,,,,,,,,,,,,,,,,,,,,,1011,2019_Mar_06_1150,mf_amp_cond1,3.0.4,59.99007211918218,
