words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
safety,wonderfujnoss,&&&&&&&&&&&&&,left,care.virtue,,,,,,,0,227,227,227,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6837862568208948,,,right,0,0.6837862568208948,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
party,letish,&&&&&&,left,loyalty.virtue,,,,,,,0,228,228,228,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5837525485549122,,,left,1,0.5837525485549122,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
racist,gusinesslike,&&&&&&&&&&&&,right,sanctity.vice,,,,,,,0,229,229,229,,,,,,,,,,,,,,,,,,,,,AMP,right,1.633997759432532,,,right,1,1.633997759432532,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
Phintoism,abointment,&&&&&&&&&&,None,nonword,,,,,,,0,230,230,230,,,,,,,,,,,,,,,,,,,,,AMP,left,0.7504590386524796,,,left,0,0.7504590386524796,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
energy,vurtain,&&&&&&&,left,sanctity.virtue,,,,,,,0,231,231,231,,,,,,,,,,,,,,,,,,,,,AMP,right,1.0672151290345937,,,right,0,1.0672151290345937,0,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
loyalty,reprisols,&&&&&&&&&,left,loyalty.virtue,,,,,,,0,232,232,232,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8671554098837078,,,left,1,0.8671554098837078,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
useful,sowntrodden,&&&&&&&&&&&,left,authority.virtue,,,,,,,0,233,233,233,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8171391972573474,,,left,1,0.8171391972573474,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
improve,fegard,&&&&&&,left,care.virtue,,,,,,,0,234,234,234,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9504841194720939,,,left,1,0.9504841194720939,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
free,festate,&&&&&&&,left,fairness.virtue,,,,,,,0,235,235,235,,,,,,,,,,,,,,,,,,,,,AMP,left,0.633809172664769,,,left,1,0.633809172664769,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
love,counpy's,&&&&&&&&,left,loyalty.virtue,,,,,,,0,236,236,236,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5670655105495825,,,left,1,0.5670655105495825,1,,,,,,,,,,,,,,,,,,,,,,1005,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.98382055749952,
