words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1526.9720345008827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0338555890193675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.2511259805760346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
car,cemtuper,&&&&&&&&,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,right,2.384162152739009,AMP_prac,right,2.384162152739009,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
keyboard,senk,&&&&,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,right,0.41701259385445155,AMP_prac,right,0.41701259385445155,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
banana,kacket,&&&&&&,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,right,0.23361350683262572,AMP_prac,right,0.23361350683262572,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
scarf,bisebell,&&&&&&&&,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,right,0.2669585038383957,AMP_prac,right,0.2669585038383957,,,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.5008949793409556,,,,,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
hope,thadowed,&&&&&&&&,left,loyalty.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5003417310654186,,,right,0,0.5003417310654186,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
riot,hescribe,&&&&&&&&,right,authority.vice,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,1.0005263074999675,,,left,0,1.0005263074999675,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
betrayal,spag,&&&&,right,loyalty.vice,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6170492204837501,,,left,0,0.6170492204837501,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
accused,totalestic,&&&&&&&&&&,right,fairness.vice,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5170276999415364,,,left,0,0.5170276999415364,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
friends,clattening,&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,right,0.30017072122427635,,,right,0,0.30017072122427635,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
praise,reelectiob,&&&&&&&&&&,left,authority.virtue,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,right,0.31697118844022043,,,right,0,0.31697118844022043,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
prones,bluently,&&&&&&&&,None,nonword,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,left,1.5839794043859001,,,left,0,1.5839794043859001,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
threatened,refuejing,&&&&&&&&&,right,fairness.vice,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,left,0.48370130494004115,,,left,0,0.48370130494004115,0,,,,,,,,,,,,,,,,,,,,,,1053,2019_Mar_13_1241,mf_amp_cond1,3.0.4,59.9906683944439,
