words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,970.6256060819142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.3177026907214895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.7507044629892334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
banana,kacket,&&&&&&,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,right,2.5842273422749713,AMP_prac,right,2.5842273422749713,,,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
car,cemtuper,&&&&&&&&,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,right,1.6506742511410266,AMP_prac,right,1.6506742511410266,,,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
keyboard,senk,&&&&,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,right,2.3341883746907115,AMP_prac,right,2.3341883746907115,,,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
scarf,bisebell,&&&&&&&&,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,right,1.200549843488261,AMP_prac,right,1.200549843488261,,,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.5673003465635702,,,,,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
unpleasant,brotesque,&&&&&&&&&,None,control,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6837575505487621,,,left,0,0.6837575505487621,0,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
threatened,Phintoism,&&&&&&&&&,right,fairness.vice,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.033843407407403,,,left,0,1.033843407407403,0,,,,,,,,,,,,,,,,,,,,1007,2019_Mar_06_0950,mf_amp_cond1,3.0.4,59.985224807361156,
