words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,968.146881749155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.9509621236938983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.2672144112875685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
car,cemtuper,&&&&&&&&,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,left,3.8344883479876444,AMP_prac,left,3.8344883479876444,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
scarf,bisebell,&&&&&&&&,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,left,2.4508296670392156,AMP_prac,left,2.4508296670392156,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
banana,kacket,&&&&&&,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8173417686484754,AMP_prac,right,1.8173417686484754,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
keyboard,senk,&&&&,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,right,1.1338416510261595,AMP_prac,right,1.1338416510261595,,,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.2335886680521071,,,,,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
ability,quarterbocks,&&&&&&&&&&&&,left,authority.virtue,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.517022461281158,,,right,0,0.517022461281158,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
neputized,precificity,&&&&&&&&&&&,None,nonword,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2839148710481822,,,left,0,1.2839148710481822,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
pleasant,proached,&&&&&&&&,None,control,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.600616805953905,,,right,0,1.600616805953905,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
harassment,frojecting,&&&&&&&&&&,right,sanctity.vice,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5003556769806892,,,left,0,0.5003556769806892,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
serial,faspberry,&&&&&&&&&,right,sanctity.vice,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.2672323716105893,,,right,1,1.2672323716105893,1,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
integrity,ittutable,&&&&&&&&&,left,fairness.virtue,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,AMP,right,3.534412145265378,,,right,0,3.534412145265378,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
gaultless,papert,&&&&&&,None,nonword,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.18385675677564,,,right,0,1.18385675677564,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
strong,sliptery,&&&&&&&&,left,loyalty.virtue,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.6506357605103403,,,right,0,1.6506357605103403,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
chared,slending,&&&&&&&&,None,nonword,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.0504823928931728,,,left,0,1.0504823928931728,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
victim,discovars,&&&&&&&&&,right,care.vice,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.8006788329221308,,,right,1,1.8006788329221308,1,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
died,prones,&&&&&&,right,care.vice,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,AMP,left,3.3675762460334226,,,left,0,3.3675762460334226,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
support,viscs,&&&&&,left,loyalty.virtue,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6503990701166913,,,right,0,0.6503990701166913,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
unpleasant,leact,&&&&&,None,control,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.4505865622777492,,,right,0,1.4505865622777492,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
celebrated,vurtain,&&&&&&&,left,authority.virtue,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.0504637911217287,,,right,0,1.0504637911217287,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
benefit,unreflectuve,&&&&&&&&&&&&,left,fairness.virtue,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,AMP,right,2.0673986963229254,,,right,0,2.0673986963229254,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
peace,gusinesslike,&&&&&&&&&&&&,left,care.virtue,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.15027174493297935,,,right,0,0.15027174493297935,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
perfect,synchronazers,&&&&&&&&&&&&&,left,sanctity.virtue,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2005357284797356,,,left,1,1.2005357284797356,1,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
energy,fangsters,&&&&&&&&&,left,sanctity.virtue,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.3503279989818111,,,right,0,0.3503279989818111,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
crime,totalestic,&&&&&&&&&&,right,fairness.vice,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.21697287808638066,,,left,0,0.21697287808638066,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
gournful,emports,&&&&&&&,None,nonword,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.2505489100003615,,,right,0,1.2505489100003615,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
party,mecan,&&&&&,left,loyalty.virtue,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.4670009409310296,,,right,0,0.4670009409310296,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
war,lempestuous,&&&&&&&&&&&,right,sanctity.vice,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.26682281389366835,,,left,0,0.26682281389366835,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
terrorists,gikely,&&&&&&,right,fairness.vice,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.38366701966151595,,,left,0,0.38366701966151595,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
betrayal,ugeasily,&&&&&&&&,right,loyalty.vice,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.1671691258670762,,,left,0,1.1671691258670762,0,,,,,,,,,,,,,,,,,,,,1001,2019_Mar_01_1450,mf_amp_cond1,3.0.4,59.98157076993934,
