words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1047.0964224479394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.3005896732211113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,4.767966817249544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
banana,kacket,&&&&&&,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,left,4.651395863620564,AMP_prac,left,4.651395863620564,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
keyboard,senk,&&&&,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,left,2.517582115251571,AMP_prac,left,2.517582115251571,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
scarf,bisebell,&&&&&&&&,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,left,1.2172345845028758,AMP_prac,left,1.2172345845028758,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
car,cemtuper,&&&&&&&&,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,right,1.100538230035454,AMP_prac,right,1.100538230035454,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.5842521387385204,,,,,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
health,yane,&&&&,left,care.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,1.5339240115135908,,,right,0,1.5339240115135908,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
increase,lorthwhile,&&&&&&&&&&,left,care.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,right,1.6007800517836586,,,right,0,1.6007800517836586,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
hand,dramens,&&&&&&&,left,sanctity.virtue,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,right,1.8672317942837253,,,right,0,1.8672317942837253,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
emassion,bycled,&&&&&&,None,nonword,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,right,3.000991982757114,,,right,0,3.000991982757114,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
officers,antral,&&&&&&,right,authority.vice,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,left,2.7842811316950247,,,left,0,2.7842811316950247,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
fair,ammessment,&&&&&&&&&&,left,fairness.virtue,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,right,1.483958617085591,,,right,0,1.483958617085591,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
trust,epigrach,&&&&&&&&,left,authority.virtue,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,right,1.4506385186687112,,,right,0,1.4506385186687112,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
voter,pistraught,&&&&&&&&&&,right,fairness.vice,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,right,1.950754618854262,,,right,1,1.950754618854262,1,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
victim,thadowed,&&&&&&&&,right,care.vice,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9171583816641942,,,left,0,0.9171583816641942,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
strength,lursuer,&&&&&&&,left,sanctity.virtue,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,right,1.6839879307663068,,,right,0,1.6839879307663068,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
protect,gazily,&&&&&&,left,fairness.virtue,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,right,0.9338226002873853,,,right,0,0.9338226002873853,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
love,fornicalion,&&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,right,0.8504498719703406,,,right,0,0.8504498719703406,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
care,chonograph,&&&&&&&&&&,left,care.virtue,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,AMP,right,0.7504488456761464,,,right,0,0.7504488456761464,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
supervuned,sonvoy,&&&&&&,None,nonword,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,AMP,left,2.384197167586535,,,left,0,2.384197167586535,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
dignity,coom,&&&&,left,sanctity.virtue,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,AMP,right,3.434431003406644,,,right,0,3.434431003406644,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
clattening,noped,&&&&&,None,nonword,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,AMP,left,3.834520419826731,,,left,0,3.834520419826731,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
wump,smapper,&&&&&&&,None,nonword,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,AMP,left,2.150799647788517,,,left,0,2.150799647788517,0,,,,,,,,,,,,,,,,,,,,,,1009,2019_Mar_06_1149,mf_amp_cond1,3.0.4,60.11803812455499,
