words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,593.1054340529663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,13.520441161817871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.20083619072102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
keyboard,senk,&&&&,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,left,2.9509866902953945,AMP_prac,left,2.9509866902953945,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
banana,kacket,&&&&&&,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,left,4.6013995097600855,AMP_prac,left,4.6013995097600855,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
car,cemtuper,&&&&&&&&,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,left,2.8676283672393765,AMP_prac,left,2.8676283672393765,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
scarf,bisebell,&&&&&&&&,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,left,1.7840214833559003,AMP_prac,left,1.7840214833559003,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.667337727471022,,,,,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
respect,seachwear,&&&&&&&&&,left,sanctity.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,3.1343575536448043,,,right,0,3.1343575536448043,0,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
values,feleological,&&&&&&&&&&&&,left,sanctity.virtue,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,1.4005844868079294,,,left,1,1.4005844868079294,1,,,,,,,,,,,,,,,,,,,,,,1061,2019_Mar_13_1458,mf_amp_cond1,3.0.4,59.98155123116491,
