words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1507.4360494914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.717876571812667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.2008651174837723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
keyboard,senk,&&&&,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,left,1.9340683871414512,AMP_prac,left,1.9340683871414512,,,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
scarf,bisebell,&&&&&&&&,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,left,2.850989012629725,AMP_prac,left,2.850989012629725,,,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
banana,kacket,&&&&&&,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,left,0.817133842036128,AMP_prac,left,0.817133842036128,,,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
car,cemtuper,&&&&&&&&,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,right,2.834271981846541,AMP_prac,right,2.834271981846541,,,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.2174721404444426,,,,,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
hate,reprisols,&&&&&&&&&,right,fairness.vice,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,AMP,left,2.300832147244364,,,left,0,2.300832147244364,0,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
hand,totalestic,&&&&&&&&&&,left,sanctity.virtue,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.9504707888700068,,,right,0,0.9504707888700068,0,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
groups,mecan,&&&&&,right,loyalty.vice,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.5006218813359737,,,right,1,1.5006218813359737,1,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
riot,sickyay,&&&&&&&,right,authority.vice,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.4172583465697244,,,right,1,1.4172583465697244,1,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
honored,simplustic,&&&&&&&&&&,left,authority.virtue,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.8004270744277164,,,right,0,0.8004270744277164,0,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
terrorist,chadows,&&&&&&&,right,loyalty.vice,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.2672377242706716,,,left,0,1.2672377242706716,0,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
shot,counpy's,&&&&&&&&,right,care.vice,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,AMP,left,2.0338882049545646,,,left,0,2.0338882049545646,0,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
torture,asn,&&&,right,care.vice,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.950488107977435,,,left,0,0.950488107977435,0,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
serial,lenon,&&&&&,right,sanctity.vice,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,AMP,right,2.3008616536390036,,,right,1,2.3008616536390036,1,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
victims,tomedians,&&&&&&&&&,right,care.vice,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.8507212091935799,,,right,1,1.8507212091935799,1,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
rorroborated,brudent,&&&&&&&,None,nonword,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.6839992712484673,,,left,0,1.6839992712484673,0,,,,,,,,,,,,,,,,,,,,1021,2019_Mar_06_1241,mf_amp_cond1,3.0.4,60.143706449975504,
