words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,464.03259901127603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.6836276586982422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.867676423629746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
keyboard,senk,&&&&,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,left,8.7024218900915,AMP_prac,left,8.7024218900915,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
banana,kacket,&&&&&&,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,left,2.084117655744194,AMP_prac,left,2.084117655744194,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
scarf,bisebell,&&&&&&&&,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,left,1.3505900298187044,AMP_prac,left,1.3505900298187044,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
car,cemtuper,&&&&&&&&,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,left,0.700429252552567,AMP_prac,left,0.700429252552567,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8340527097898303,,,,,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
accused,photocalkodes,&&&&&&&&&&&&&,right,fairness.vice,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,4.768105163035216,,,left,0,4.768105163035216,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
clamorek,drumbled,&&&&&&&&,None,nonword,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,2.6342318643728504,,,left,0,2.6342318643728504,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
voter,ronviolence,&&&&&&&&&&&,right,fairness.vice,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,left,2.834297419685754,,,left,0,2.834297419685754,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
scandal,gedious,&&&&&&&,right,sanctity.vice,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,left,1.6673254269262543,,,left,0,1.6673254269262543,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
men,ejanulated,&&&&&&&&&&,right,loyalty.vice,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,left,2.5008813404128887,,,left,0,2.5008813404128887,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
troops,smapper,&&&&&&&,right,loyalty.vice,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9504662957770051,,,left,0,0.9504662957770051,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
fraud,noped,&&&&&,right,fairness.vice,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,left,1.1005526658555027,,,left,0,1.1005526658555027,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
dumid,chonograph,&&&&&&&&&&,None,nonword,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,left,2.7676061216625385,,,left,0,2.7676061216625385,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
hand,Oregoniuns,&&&&&&&&&&,left,sanctity.virtue,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,AMP,left,4.784808937067282,,,left,1,4.784808937067282,1,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
growth,wump,&&&&,left,care.virtue,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,right,2.8509918928175466,,,right,0,2.8509918928175466,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
help,focomotive,&&&&&&&&&&,left,care.virtue,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,right,0.817101339387591,,,right,0,0.817101339387591,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
promised,supervuned,&&&&&&&&&&,left,loyalty.virtue,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,left,4.601399368431885,,,left,1,4.601399368431885,1,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
perified,alar,&&&&,None,nonword,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,AMP,right,5.184881676512305,,,right,0,5.184881676512305,0,,,,,,,,,,,,,,,,,,,,,,1039,2019_Mar_08_1459,mf_amp_cond1,3.0.4,60.00173194327287,
