words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
seem,,&&&&,left,neutral,,,,,,,,,,,,,0,92,92,56,,,,,,,,,,,,,,,LDT,right,0.6337468132687718,,,,,,0,,,,,,,,,,,,,right,0,0.6337468132687718,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
gowlands,,&&&&&&&&,right,nonword,,,,,,,,,,,,,0,93,93,50,,,,,,,,,,,,,,,LDT,left,0.7504665640585699,,,,,,0,,,,,,,,,,,,,left,0,0.7504665640585699,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
ilportation,,&&&&&&&&&&&,right,nonword,,,,,,,,,,,,,0,94,94,2,,,,,,,,,,,,,,,LDT,left,0.8170812316971023,,,,,,0,,,,,,,,,,,,,left,0,0.8170812316971023,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
Cunday,,&&&&&&,None,nonword,,,,,,,,,,,,,0,95,95,3,,,,,,,,,,,,,,,LDT,left,0.7004166443498434,,,,,,0,,,,,,,,,,,,,left,0,0.7004166443498434,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
rejected,,&&&&&&&&,left,authority.vice,,,,,,,,,,,,,0,96,96,5,,,,,,,,,,,,,,,LDT,left,0.650418360189633,,,,,,1,,,,,,,,,,,,,left,1,0.650418360189633,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
mostly,,&&&&&&,left,neutral,,,,,,,,,,,,,0,97,97,151,,,,,,,,,,,,,,,LDT,left,0.767114698587875,,,,,,1,,,,,,,,,,,,,left,1,0.767114698587875,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
less,,&&&&,left,neutral,,,,,,,,,,,,,0,98,98,144,,,,,,,,,,,,,,,LDT,right,0.5504035109609049,,,,,,0,,,,,,,,,,,,,right,0,0.5504035109609049,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
progress,,&&&&&&&&,left,authority.virtue,,,,,,,,,,,,,0,99,99,109,,,,,,,,,,,,,,,LDT,right,0.4670371169788723,,,,,,0,,,,,,,,,,,,,right,0,0.4670371169788723,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
win,,&&&,left,fairness.virtue,,,,,,,,,,,,,0,100,100,46,,,,,,,,,,,,,,,LDT,left,0.45035113776202707,,,,,,1,,,,,,,,,,,,,left,1,0.45035113776202707,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
charges,,&&&&&&&,left,fairness.vice,,,,,,,,,,,,,0,101,101,57,,,,,,,,,,,,,,,LDT,left,0.5337143245667448,,,,,,1,,,,,,,,,,,,,left,1,0.5337143245667448,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
festate,,&&&&&&&,right,nonword,,,,,,,,,,,,,0,102,102,163,,,,,,,,,,,,,,,LDT,left,0.8671369243238587,,,,,,0,,,,,,,,,,,,,left,0,0.8671369243238587,,,,,1033,2019_Mar_07_1401,mf_amp_cond1,3.0.4,59.992361477233565,
