words,nonwords,mask,corr_ans,category,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,tweets,topic,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,469.4514236469986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.1510988852387527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.867448391232756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
scarf,bisebell,&&&&&&&&,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,right,1.8507423721457599,AMP_prac,right,1.8507423721457599,,,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
keyboard,senk,&&&&,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,right,2.234142768153106,AMP_prac,right,2.234142768153106,,,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
car,cemtuper,&&&&&&&&,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,left,1.500606803514529,AMP_prac,left,1.500606803514529,,,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
banana,kacket,&&&&&&,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,left,1.1838775001087924,AMP_prac,left,1.1838775001087924,,,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.767640759484493,,,,,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
threatened,ilportation,&&&&&&&&&&&,right,fairness.vice,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9504778417176567,,,left,0,0.9504778417176567,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
serial,totalestic,&&&&&&&&&&,right,sanctity.vice,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.9504893876728602,,,left,0,0.9504893876728602,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
racist,rivernoat,&&&&&&&&&,right,sanctity.vice,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.1171836363209877,,,left,0,1.1171836363209877,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
prosecution,allears,&&&&&&&,right,authority.vice,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.3672793714358704,,,right,1,1.3672793714358704,1,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
perfect,sliptery,&&&&&&&&,left,sanctity.virtue,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.3005733202735428,,,left,1,1.3005733202735428,1,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
injured,supervuned,&&&&&&&&&&,right,care.vice,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.150539869107888,,,left,0,1.150539869107888,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
lies,thadowed,&&&&&&&&,right,fairness.vice,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.5339944669249235,,,left,0,1.5339944669249235,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
good,frojecting,&&&&&&&&&&,left,care.virtue,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8504614208359271,,,left,1,0.8504614208359271,1,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
victims,lenon,&&&&&,right,care.vice,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5670408835430862,,,right,1,0.5670408835430862,1,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
harassment,precificity,&&&&&&&&&&&,right,sanctity.vice,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6837723037169781,,,right,1,0.6837723037169781,1,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
energy,hatigue,&&&&&&&,left,sanctity.virtue,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,AMP,left,0.533705818321323,,,left,1,0.533705818321323,1,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
gedious,fangsters,&&&&&&&&&,None,nonword,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.0336833678884432,,,right,0,1.0336833678884432,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
fraud,gowlands,&&&&&&&&,right,fairness.vice,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,AMP,right,0.9504816903790925,,,right,1,0.9504816903790925,1,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
improve,gikely,&&&&&&,left,care.virtue,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,AMP,right,1.1171890885743778,,,right,0,1.1171890885743778,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
killed,pumber,&&&&&&,right,care.vice,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,AMP,left,1.1505690546910046,,,left,0,1.1505690546910046,0,,,,,,,,,,,,,,,,,,,,1041,2019_Mar_08_1459,mf_amp_cond1,3.0.4,59.99261150617951,
