words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
violence,,&&&&&&&&,left,care.vice,,,,,,,,,,,,,,,0,84,84,96,,,,,,,,,,,,,LDT,right,0.7337406887381803,,,,,,0,,,,,,,,,,,,,right,0,0.7337406887381803,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
latterly,,&&&&&&&&,left,neutral,,,,,,,,,,,,,,,0,85,85,179,,,,,,,,,,,,,LDT,left,0.96713852926041,,,,,,1,,,,,,,,,,,,,left,1,0.96713852926041,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
yane,,&&&&,right,nonword,,,,,,,,,,,,,,,0,86,86,170,,,,,,,,,,,,,LDT,left,0.7837596432073042,,,,,,0,,,,,,,,,,,,,left,0,0.7837596432073042,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
unscothed,,&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,87,87,171,,,,,,,,,,,,,LDT,left,0.8671060725464486,,,,,,0,,,,,,,,,,,,,left,0,0.8671060725464486,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
pulge,,&&&&&,right,nonword,,,,,,,,,,,,,,,0,88,88,33,,,,,,,,,,,,,LDT,left,1.167177143797744,,,,,,0,,,,,,,,,,,,,left,0,1.167177143797744,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
charges,,&&&&&&&,left,fairness.vice,,,,,,,,,,,,,,,0,89,89,194,,,,,,,,,,,,,LDT,right,3.334339855267899,,,,,,0,,,,,,,,,,,,,right,0,3.334339855267899,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
pullness,,&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,90,90,181,,,,,,,,,,,,,LDT,left,0.5335638445103541,,,,,,0,,,,,,,,,,,,,left,0,0.5335638445103541,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
police,,&&&&&&,left,authority.vice,,,,,,,,,,,,,,,0,91,91,18,,,,,,,,,,,,,LDT,right,0.5837290466588456,,,,,,0,,,,,,,,,,,,,right,0,0.5837290466588456,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
baladroit,,&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,92,92,162,,,,,,,,,,,,,LDT,left,0.5003678642387968,,,,,,0,,,,,,,,,,,,,left,0,0.5003678642387968,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
Oregoniuns,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,93,93,119,,,,,,,,,,,,,LDT,left,0.667054308578372,,,,,,0,,,,,,,,,,,,,left,0,0.667054308578372,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
sexual,,&&&&&&,left,sanctity.vice,,,,,,,,,,,,,,,0,94,94,114,,,,,,,,,,,,,LDT,right,2.1674587347370107,,,,,,0,,,,,,,,,,,,,right,0,2.1674587347370107,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
rebels,,&&&&&&,left,authority.vice,,,,,,,,,,,,,,,0,95,95,91,,,,,,,,,,,,,LDT,right,0.6503987494506873,,,,,,0,,,,,,,,,,,,,right,0,0.6503987494506873,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
ensure,,&&&&&&,left,fairness.virtue,,,,,,,,,,,,,,,0,96,96,190,,,,,,,,,,,,,LDT,right,0.6170388820173685,,,,,,0,,,,,,,,,,,,,right,0,0.6170388820173685,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
lies,,&&&&,left,fairness.vice,,,,,,,,,,,,,,,0,97,97,131,,,,,,,,,,,,,LDT,right,0.5503608405124396,,,,,,0,,,,,,,,,,,,,right,0,0.5503608405124396,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
gowlands,,&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,98,98,86,,,,,,,,,,,,,LDT,right,1.1338528760825284,,,,,,1,,,,,,,,,,,,,right,1,1.1338528760825284,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
imebreaker,,&&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,99,99,1,,,,,,,,,,,,,LDT,left,0.9004697886412032,,,,,,0,,,,,,,,,,,,,left,0,0.9004697886412032,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
less,,&&&&,left,neutral,,,,,,,,,,,,,,,0,100,100,61,,,,,,,,,,,,,LDT,right,0.6337063076789491,,,,,,0,,,,,,,,,,,,,right,0,0.6337063076789491,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
men,,&&&,left,loyalty.vice,,,,,,,,,,,,,,,0,101,101,14,,,,,,,,,,,,,LDT,right,0.8171108512615319,,,,,,0,,,,,,,,,,,,,right,0,0.8171108512615319,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
taxpayung,,&&&&&&&&&,right,nonword,,,,,,,,,,,,,,,0,102,102,133,,,,,,,,,,,,,LDT,left,1.5172748667537235,,,,,,0,,,,,,,,,,,,,left,0,1.5172748667537235,,,,,,,1055,2019_Mar_13_1243,mf_amp_cond1,3.0.4,59.988033169196214,
