words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1917.9040049263713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.5843106440006522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.4343210676452145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
banana,kacket,&&&&&&,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,right,1.4506316731421975,AMP_prac,right,1.4506316731421975,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
keyboard,senk,&&&&,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,left,2.6676334467629204,AMP_prac,left,2.6676334467629204,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
car,cemtuper,&&&&&&&&,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,left,2.884375751702464,AMP_prac,left,2.884375751702464,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
scarf,bisebell,&&&&&&&&,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,left,1.3005994400009513,AMP_prac,left,1.3005994400009513,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.134450641620788,,,,,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
threatened,neutralust,&&&&&&&&&&,right,fairness.vice,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8838115917315008,,,left,0,0.8838115917315008,0,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
framatic,gikely,&&&&&&,None,nonword,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,2.0174616970907664,,,left,0,2.0174616970907664,0,,,,,,,,,,,,,,,,,,,,,,1077,2019_Mar_15_1435,mf_amp_cond1,3.0.4,59.98772505447097,
