words,nonwords,mask,corr_ans,category,tweets,topic,AMP_pracloop.thisRepN,AMP_pracloop.thisTrialN,AMP_pracloop.thisN,AMP_pracloop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_pracloop.thisRepN,LDT_pracloop.thisTrialN,LDT_pracloop.thisN,LDT_pracloop.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,463.5460263284331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.08358760972623713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.267466496123234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
car,cemtuper,&&&&&&&&,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,right,4.501328095793724,AMP_prac,right,4.501328095793724,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
keyboard,senk,&&&&,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,right,2.484161311178468,AMP_prac,right,2.484161311178468,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
banana,kacket,&&&&&&,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,right,2.334155762771843,AMP_prac,right,2.334155762771843,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
scarf,bisebell,&&&&&&&&,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,right,2.0674057520227507,AMP_prac,right,2.0674057520227507,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.2338760319689754,,,,,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
police,synchronazers,&&&&&&&&&&&&&,right,authority.vice,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,1.0004759464063682,,,right,1,1.0004759464063682,1,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
fear,quarterbocks,&&&&&&&&&&&&,right,sanctity.vice,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,0.8004289932141546,,,left,0,0.8004289932141546,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
useful,brotesque,&&&&&&&&&,left,authority.virtue,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6337200986163225,,,right,0,0.6337200986163225,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
rejected,gondensed,&&&&&&&&&,right,authority.vice,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,AMP,right,0.800428672489943,,,right,1,0.800428672489943,1,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
restore,baladroit,&&&&&&&&&,left,care.virtue,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,AMP,right,0.7504090766014997,,,right,0,0.7504090766014997,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
ensure,gationwide,&&&&&&&&&&,left,fairness.virtue,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,AMP,right,0.4336846912628971,,,right,0,0.4336846912628971,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
scandal,gillipede,&&&&&&&&&,right,sanctity.vice,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,AMP,left,0.6003733806137461,,,left,0,0.6003733806137461,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
framatic,divility,&&&&&&&&,None,nonword,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6503913729393389,,,right,0,0.6503913729393389,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
killed,juck,&&&&,right,care.vice,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,AMP,left,0.5836985783826094,,,left,0,0.5836985783826094,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
interests,seachwear,&&&&&&&&&,left,fairness.virtue,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,AMP,right,0.7003862735000439,,,right,0,0.7003862735000439,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
help,pulge,&&&&&,left,care.virtue,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,AMP,right,0.40032033374882303,,,right,0,0.40032033374882303,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
ability,clamorek,&&&&&&&&,left,authority.virtue,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,AMP,right,0.4336648067110218,,,right,0,0.4336648067110218,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
officers,hatigue,&&&&&&&,right,authority.vice,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,AMP,right,0.6503888071747497,,,right,1,0.6503888071747497,1,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
praise,carvels,&&&&&&&,left,authority.virtue,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,AMP,right,0.7670870860165451,,,right,0,0.7670870860165451,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
charges,Loorish,&&&&&&&,right,fairness.vice,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,AMP,right,1.217213417054154,,,right,1,1.217213417054154,1,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
credit,rorroborated,&&&&&&&&&&&&,left,fairness.virtue,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,AMP,right,0.5336735302698798,,,right,0,0.5336735302698798,0,,,,,,,,,,,,,,,,,,,,,,1063,2019_Mar_13_1500,mf_amp_cond1,3.0.4,59.9986530095063,
