words,nonwords,mask,corr_ans,category,tweets,topic,AMP_prac_loop.thisRepN,AMP_prac_loop.thisTrialN,AMP_prac_loop.thisN,AMP_prac_loop.thisIndex,AMP_trials.thisRepN,AMP_trials.thisTrialN,AMP_trials.thisN,AMP_trials.thisIndex,LDT_prac_loop.thisRepN,LDT_prac_loop.thisTrialN,LDT_prac_loop.thisN,LDT_prac_loop.thisIndex,LDT_loop.thisRepN,LDT_loop.thisTrialN,LDT_loop.thisN,LDT_loop.thisIndex,tweet_loop.thisRepN,tweet_loop.thisTrialN,tweet_loop.thisN,tweet_loop.thisIndex,begin_key.keys,begin_key.rt,key_resp_AMP_instr1.keys,key_resp_AMP_instr1.rt,resp_AMP_ready1.keys,resp_AMP_ready1.rt,resp_AMP_prac.keys,resp_AMP_prac.rt,task,keypress,RT,resp_AMP_ready.keys,resp_AMP_ready.rt,resp_AMP.keys,resp_AMP.corr,resp_AMP.rt,corr,AMP_nonword_rating.response,AMP_nonword_rating.rt,AMP_word_rating.response,AMP_word_rating.rt,AMP_random_rating.response,AMP_random_rating.rt,key_resp_LDT_instr.keys,key_resp_LDT_instr.rt,resp_LDT_prac.keys,resp_LDT_prac.rt,resp_LDT_ready.keys,resp_LDT_ready.rt,resp_LDT.keys,resp_LDT.corr,resp_LDT.rt,LDT_rating.response,LDT_rating.rt,key_resp_LDT_instr_2.keys,key_resp_LDT_instr_2.rt,resp_tweets.keys,resp_tweets.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,right,223.1390564654721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,2.6842691000783816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.7507307620253414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
car,cemtuper,&&&&&&&&,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,right,3.267918824334629,AMP_prac,right,3.267918824334629,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
scarf,bisebell,&&&&&&&&,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,right,1.2838846200611442,AMP_prac,right,1.2838846200611442,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
keyboard,senk,&&&&,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,right,1.1506094654323533,AMP_prac,right,1.1506094654323533,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
banana,kacket,&&&&&&,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,right,0.6670839242869988,AMP_prac,right,0.6670839242869988,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.10019025159999728,,,,,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
restore,ittutable,&&&&&&&&&,left,care.virtue,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,AMP,right,0.9671392806340009,,,right,0,0.9671392806340009,0,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
harassment,infet,&&&&&,right,sanctity.vice,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,AMP,left,0.2002551011973992,,,left,0,0.2002551011973992,0,,,,,,,,,,,,,,,,,,,,,,1025,2019_Mar_06_1503,mf_amp_cond1,3.0.4,59.98545565785454,
